Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
1.238299847,48.60547,84.09375,3.7525,259.375,0
2.117321014,48.60547,84.09375,3.751875,267.1875,0
3.171929836,48.59375,83.71875,3.7525,252.1875,0
4.226837635,48.58203,83.8125,3.753125,267.5,0
5.105834961,48.57031,84.09375,3.753125,249.0625,0
6.160545826,48.57031,84,3.75375,254.0625,0
7.215844154,48.55859,83.71875,3.750625,262.5,0
9.149199963,48.53516,84,3.74625,267.8125,0
10.203869820,48.51953,84,3.75125,252.8125,0
11.082882881,48.51953,83.71875,3.749375,257.5,0
12.137790680,48.50781,84,3.75375,252.8125,0
13.192604542,48.49609,83.625,3.75375,255.625,0
14.071572304,48.48438,83.625,3.749375,254.6875,0
15.126776695,48.47266,83.90625,3.75125,254.6875,0
16.181621552,48.47266,83.53125,3.7525,260.625,0
17.235982895,48.46094,83.34375,3.753125,251.875,0
18.114850521,48.44922,83.53125,3.751875,249.375,0
19.169786453,48.4375,83.8125,3.750625,263.4375,0
20.224550724,48.42188,83.71875,3.750625,253.75,0
21.103538513,48.42188,83.53125,3.75125,265.3125,0
22.158784866,48.41016,83.8125,3.7525,252.1875,0
23.213109016,48.39844,83.8125,3.7525,253.75,0
24.092795372,48.38672,83.8125,3.751875,251.875,0
25.146813393,48.38672,83.8125,3.749375,264.6875,0
26.201587200,48.375,83.90625,3.7525,246.25,0
27.080567360,48.36328,83.8125,3.75,252.8125,0
28.135548592,48.35156,83.625,3.75,265.625,0
29.190303803,48.33984,83.71875,3.75,252.8125,0
30.069320202,48.33984,83.71875,3.75125,256.25,0
31.124776363,48.32422,83.53125,3.751875,261.5625,0
32.179036617,48.3125,83.71875,3.749375,255,0
33.233620644,48.30078,83.71875,3.75,254.375,0
34.112581253,48.30078,83.8125,3.753125,260,0
35.167474747,48.28906,83.625,3.750625,259.6875,0
36.222309589,48.27734,83.625,3.751875,255.3125,0
37.101249218,48.26563,83.625,3.75,265.625,0
38.155909538,48.25391,83.625,3.751875,263.125,0
39.210723877,48.25391,83.625,3.75125,252.8125,0
40.089686871,48.24219,83.625,3.75,265.9375,0
41.144672394,48.22656,83.4375,3.7475,261.25,0
42.199322701,48.21484,83.53125,3.750625,257.5,0
43.078294754,48.21484,83.34375,3.75,265,0
44.133198738,48.20313,83.34375,3.749375,250.3125,0
45.188071251,48.19141,83.34375,3.74875,264.6875,0
46.067042828,48.17969,83.34375,3.749375,248.4375,0
47.121683598,48.16797,83.15625,3.7475,281.5625,0
48.176676273,48.16797,83.0625,3.74875,250.3125,0
49.231254101,48.15625,83.34375,3.75125,253.125,0
50.110272884,48.14453,83.25,3.75,260.3125,0
51.165230751,48.12891,83.0625,3.75,270,0
52.220016003,48.11719,83.34375,3.750625,249.0625,0
53.098990440,48.11719,83.4375,3.74875,255.9375,0
54.153687954,48.10547,83.34375,3.75,262.5,0
55.208631039,48.09375,83.0625,3.749375,264.0625,0
56.087393284,48.08203,83.25,3.75,245.9375,0
57.142193794,48.08203,83.25,3.749375,263.4375,0
