Time (s),Power (dBm),Percentage (%)
0.820795536,-69,62
1.321004391,-57,86
1.820858479,-62,76
2.321036339,-53,94
2.820853234,-62,76
3.321033955,-59,82
3.820885182,-53,94
4.321034908,-62,76
4.820883751,-55,90
5.321063995,-53,94
5.820865154,-51,98
6.320881367,-51,98
6.820678234,-55,90
7.320841789,-59,82
7.820678234,-57,86
8.320814133,-62,76
8.820674420,-55,90
9.320835114,-51,98
9.820648194,-62,76
10.320986748,-57,86
10.820816517,-53,94
11.320956707,-62,76
11.820705891,-53,94
12.320964813,-57,86
12.820816994,-57,86
13.320960045,-45,100
13.820812226,-49,100
14.320991993,-49,100
14.820845127,-45,100
15.320940971,-43,100
15.820806027,-45,100
16.320981503,-45,100
16.820813179,-62,76
17.320824623,-55,90
17.820629120,-59,82
18.320790768,-62,76
18.820655823,-73,54
19.320783615,-49,100
19.820626736,-65,70
20.320757389,-51,98
20.820598126,-45,100
21.320936680,-53,94
21.820785523,-59,82
22.320926189,-62,76
22.820658207,-57,86
23.320923805,-59,82
23.820775986,-59,82
24.320844174,-62,76
24.820808411,-60,80
25.320917606,-57,86
25.820682049,-55,90
26.320954800,-65,70
26.820765019,-49,100
27.320831299,-57,86
27.820724011,-67,66
28.320774078,-55,90
28.820580483,-62,76
29.320754051,-57,86
29.820573807,-57,86
30.320734024,-57,86
30.820571900,-53,94
31.320727825,-53,94
31.820545197,-53,94
32.320892811,-51,98
32.820730210,-55,90
33.320861340,-60,80
33.820606232,-57,86
34.320884705,-60,80
34.820582390,-59,82
35.320880413,-59,82
35.820732594,-61,78
36.320713997,-49,100
36.820765495,-60,80
37.320919991,-59,82
37.820549488,-67,66
38.320905685,-55,90
38.820665837,-47,100
39.320716381,-51,98
39.820520878,-55,90
40.320678234,-51,98
40.820517063,-51,98
41.320689678,-51,98
41.820522785,-51,98
42.320670128,-51,98
42.820540905,-57,86
43.320833206,-67,66
44.320796967,-51,98
44.820533753,-49,100
45.320912361,-57,86
45.820695877,-67,66
46.320841312,-51,98
46.820727825,-51,98
47.320871353,-59,82
47.820725441,-55,90
48.320879459,-62,76
48.820731640,-62,76
49.320868969,-57,86
49.820637226,-57,86
50.320646286,-59,82
50.820487023,-63,74
51.320645809,-53,94
51.820529938,-51,98
52.320641995,-45,100
52.820475578,-47,100
53.320697308,-41,100
53.820469856,-43,100
54.320760250,-47,100
54.820627690,-51,98
55.320778370,-45,100
55.820460797,-45,100
56.320802689,-47,100
56.820656777,-45,100
57.320834637,-47,100
57.820651531,-57,86
58.320796967,-59,82
58.820684433,-51,98
59.320848942,-51,98
59.820697308,-59,82
60.320800304,-47,100
60.820519448,-67,66
61.320659638,-55,90
61.820479870,-53,94
62.320652962,-57,86
62.820450306,-57,86
63.320670605,-51,98
63.820452213,-73,54
64.320641518,-63,74
64.820426941,-53,94
65.320799828,-47,100
65.820613861,-55,90
66.320642948,-51,98
66.820619106,-61,78
67.820650578,-55,90
68.320760250,-55,90
68.820551872,-59,82
69.320755959,-47,100
69.820643902,-51,98
70.320731640,-49,100
70.820619106,-53,94
71.320720673,-49,100
71.820437432,-49,100
72.320566654,-53,94
72.820398808,-51,98
73.320575237,-57,86
73.820407391,-53,94
74.320577622,-51,98
74.820400238,-61,78
75.320573330,-61,78
75.820398808,-59,82
76.320703030,-53,94
76.820535183,-62,76
77.320564270,-57,86
77.820454121,-65,70
78.320722103,-53,94
78.820574284,-57,86
79.320583820,-53,94
79.820606709,-53,94
80.320716381,-51,98
80.820418358,-55,90
81.320735931,-57,86
81.820583821,-57,86
82.320584297,-59,82
82.820358277,-57,86
83.320532322,-53,94
83.820357800,-67,66
84.320528030,-57,86
84.820351124,-55,90
85.320527077,-57,86
85.820412636,-55,90
86.320521355,-57,86
86.820341110,-62,76
87.820491791,-57,86
88.320508957,-59,82
88.820538521,-59,82
89.320683003,-55,90
89.820322037,-55,90
90.320713520,-55,90
90.820532322,-53,94
91.320454598,-51,98
91.820562840,-57,86
92.320698738,-53,94
92.820327759,-53,94
93.320568562,-51,98
93.820374489,-53,94
94.320531368,-51,98
94.820343018,-57,86
95.320505619,-71,58
95.820363522,-57,86
96.320522785,-65,70
96.820335865,-57,86
97.320676327,-49,100
97.820524693,-55,90
98.320585728,-53,94
98.820393563,-45,100
99.320645332,-49,100
99.820499420,-65,70
100.320676327,-59,82
100.820493698,-60,80
101.320639134,-53,94
101.820526123,-53,94
102.320677281,-53,94
102.820488453,-63,74
103.320660591,-65,70
103.820457459,-51,98
104.320550919,-57,86
104.820302487,-57,86
105.320471287,-53,94
105.820283413,-53,94
106.320442677,-53,94
106.820281029,-51,98
107.320463181,-55,90
107.820280075,-59,82
108.320570946,-53,94
108.820450783,-51,98
109.320585251,-49,100
109.820334435,-53,94
110.320581436,-55,90
110.820456982,-59,82
111.320600510,-57,86
111.820420742,-62,76
112.320633411,-62,76
112.820485592,-62,76
113.320585728,-62,76
113.820446015,-53,94
114.320624352,-57,86
114.820408821,-57,86
115.320455074,-53,94
115.820261955,-51,98
116.320422173,-49,100
116.820259094,-47,100
117.320394039,-47,100
117.820259094,-60,80
118.320390225,-59,82
118.820230484,-55,90
119.320543289,-47,100
119.820421219,-45,100
120.320549488,-51,98
120.820289612,-39,100
121.320564270,-47,100
121.820417404,-49,100
122.320452690,-63,74
122.820449829,-60,80
123.320557594,-53,94
123.820291519,-64,72
124.320599556,-53,94
124.820405483,-53,94
125.320477963,-49,100
125.820356846,-53,94
126.320406914,-60,80
126.820212841,-49,100
127.320386410,-53,94
127.820208550,-51,98
128.320368767,-53,94
128.820205212,-49,100
129.320378304,-47,100
129.820182800,-47,100
130.320517540,-51,98
130.820408344,-47,100
131.320461750,-49,100
131.820216656,-49,100
132.320525646,-60,80
132.820190907,-57,86
133.820374489,-64,72
134.320323467,-59,82
134.820405007,-59,82
135.320560455,-55,90
135.820158482,-53,94
136.320546150,-53,94
136.820301056,-60,80
137.320330620,-60,80
137.820156574,-60,80
138.320353508,-61,78
138.820151806,-57,86
139.320326328,-57,86
139.820160866,-57,86
140.320322037,-57,86
140.820156098,-57,86
141.320466042,-53,94
141.820288181,-53,94
142.320411682,-53,94
142.820174217,-57,86
143.320483685,-57,86
143.820335865,-59,82
