Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.5683001,-1.156571,0.6135079,0.508082,0.6517167,0.5567541,-30.93649,-30.37019,-2.357851,1006.576
0.035296440,-1.934957,-0.3883658,1.163309,0.5105528,0.6342241,0.5596628,-30.93649,-30.37019,-2.357851,1006.576
0.068071842,1.357444,-0.3292731,0.3691518,0.5192941,0.6327991,0.5543492,-31.64571,-31.47279,-3.147786,1006.576
0.100846767,1.916531,0.4980244,-0.7915395,0.5202588,0.6332106,0.5423123,-31.27955,-31.45669,-1.90508,1006.576
0.133621693,2.040772,-0.7429219,-1.891142,0.5280245,0.632718,0.532186,-31.27955,-31.45669,-1.90508,1006.578
0.168918133,6.824073,-3.402092,-4.334702,0.5571048,0.6513141,0.5099464,-30.91548,-31.45756,-1.905549,1006.58
0.201692581,6.513469,-1.215663,-3.540545,0.5574812,0.709723,0.57436,-31.29308,-30.72781,-1.916539,1006.58
0.234467983,-9.637934,1.916249,2.140733,0.4794156,0.6653422,0.5895342,-31.28631,-31.09225,-1.910809,1006.581
0.267242909,-8.644002,-0.7429219,4.462116,0.4527668,0.6407613,0.5886717,-31.28631,-31.09225,-1.910809,1006.581
0.300017834,-5.537962,-0.6247365,5.073006,0.4543137,0.5992489,0.5704389,-31.28028,-31.46263,-2.340192,1006.581
0.335314274,7.321039,-1.038385,1.652021,0.4974642,0.6248578,0.5592266,-31.65788,-30.73288,-2.351182,1006.581
0.368089676,7.631643,0.2616537,-0.2417383,0.5314327,0.6318795,0.5475828,-31.65788,-30.73288,-2.351182,1006.581
0.400864601,5.581657,2.329898,1.285487,0.5455199,0.6320874,0.5605459,-31.2938,-30.73376,-2.351651,1006.581
0.433639526,8.377091,2.093527,3.545781,0.5333021,0.6620746,0.545126,-31.29453,-30.7397,-2.786763,1006.581
0.468935490,6.078623,0.2616537,4.950828,0.5129299,0.6566877,0.5653997,-31.29453,-30.7397,-2.786763,1006.581
0.501710415,3.842275,-0.5065512,4.034493,0.4930424,0.6467443,0.5601668,-30.57096,-30.35917,-1.488098,1006.583
0.534485817,2.910463,-2.279331,1.041131,0.4833725,0.6271052,0.5491481,-31.66391,-30.3625,-1.921799,1006.579
0.567260742,4.649846,-3.933927,-1.158074,0.5085966,0.6385376,0.5519592,-31.66391,-30.3625,-1.921799,1006.581
0.600035668,3.345309,-4.583946,-2.196587,0.534777,0.6512583,0.5287725,-31.66922,-29.98618,-1.057307,1006.581
0.635332108,4.028638,-4.170298,-2.563121,0.5609929,0.6503925,0.5128267,-30.929,-30.72868,-1.917009,1006.581
0.668106556,2.724101,-1.865683,-1.035896,0.546375,0.6701856,0.5051298,-30.929,-30.72868,-1.917009,1006.581
0.700881481,-1.127387,-0.7429219,-0.4860944,0.5464199,0.6532066,0.5147825,-32.01374,-31.08456,-1.474758,1006.581
0.733656883,0.3635115,0.4980244,0.4913299,0.5236034,0.6546145,0.5345703,-30.93503,-30.3583,-1.487628,1006.579
0.768953324,-2.431924,0.6753024,1.041131,0.5080628,0.6564665,0.539418,-30.93503,-30.3583,-1.487628,1006.579
0.801728249,-2.369803,1.443507,0.3080628,0.5090661,0.6448563,0.5495417,-31.64967,-31.08543,-1.475228,1006.579
0.834503174,0.9225985,0.6162097,0.4302409,0.4984105,0.6335689,0.5500653,-32.39061,-30.34887,-1.050637,1006.579
0.867278576,1.85441,-0.6247365,-0.3028273,0.5109864,0.6551369,0.5548167,-32.39061,-30.34887,-1.050637,1006.579
0.900053501,-2.245561,0.02528298,-0.3028273,0.5255674,0.6468886,0.5417978,-32.01978,-30.71418,-1.045377,1006.577
0.935349464,2.351376,0.02528298,0.06370676,0.5230767,0.6706355,0.5278084,-31.66319,-30.35656,-1.486688,1006.577
0.968124390,-4.171305,0.7934878,-0.05847127,0.52019,0.6609276,0.5360129,-31.66319,-30.35656,-1.486688,1006.577
1.000899315,-3.363735,0.1434683,-0.1806493,0.5231613,0.6355897,0.5307491,-31.6557,-30.71505,-1.045847,1006.577
1.033674717,-2.991011,0.2616537,-0.9748065,0.5236527,0.631644,0.5230521,-31.29235,-30.72187,-1.481428,1006.579
1.068971157,-1.872836,1.029859,-1.341341,0.532838,0.6528104,0.5441784,-31.29235,-30.72187,-1.481428,1006.581
1.101745605,-2.618286,1.325322,-0.6693614,0.5323728,0.643526,0.5403426,-31.30515,-29.98705,-1.057776,1006.582
1.134520531,-1.686474,1.443507,-0.1806493,0.5250876,0.6444494,0.5418026,-31.29838,-30.35149,-1.052047,1006.578
1.167295456,-1.437991,1.798064,0.2469738,0.5119679,0.6482328,0.5413466,-31.29838,-30.35149,-1.052047,1006.578
1.200070858,-1.127387,1.148044,-0.7304505,0.5100355,0.6438267,0.5403951,-31.66995,-29.99212,-1.492418,1006.578
1.235367298,2.537739,-0.2110877,-2.196587,0.5119674,0.6497407,0.5480834,-31.66391,-30.3625,-1.921799,1006.58
1.268142223,2.724101,-0.8020146,-2.929655,0.5168062,0.655075,0.538918,-31.65715,-30.72694,-1.91607,1006.58
1.300917149,-6.221291,-0.3883658,-2.62421,0.5264607,0.6835642,0.5619575,-31.65715,-30.72694,-1.91607,1006.58
1.333692551,-1.748595,0.5571171,-0.6693614,0.5125219,0.617991,0.5341704,-31.66246,-30.35061,-1.051576,1006.58
1.366466999,-1.562233,0.08437566,-0.1806493,0.5231457,0.6474692,0.5581689,-31.65788,-30.73288,-2.351182,1006.58
1.401762962,-1.437991,0.5571171,0.6745969,0.5154168,0.6308588,0.5601377,-31.65788,-30.73288,-2.351182,1006.58
1.434538365,1.916531,1.384415,1.041131,0.523638,0.6410113,0.5394043,-31.28559,-31.0863,-1.475698,1006.58
1.467313290,-0.5683001,2.861732,1.407665,0.505624,0.6623374,0.546154,-31.65112,-31.09732,-2.345452,1006.581
1.500088215,1.108961,1.975342,1.590932,0.5085562,0.6560906,0.554821,-31.65112,-31.09732,-2.345452,1006.58
1.535384178,-0.6304209,1.148044,1.407665,0.5032325,0.6482369,0.5524386,-31.65715,-30.72694,-1.91607,1006.58
1.568159104,1.668048,-0.6838292,-0.3028273,0.5037408,0.6384937,0.5514894,-31.65039,-31.09138,-1.91034,1006.58
1.600934506,3.096826,-1.924775,-1.096985,0.5217023,0.6405951,0.551925,-31.65039,-31.09138,-1.91034,1006.58
1.633709431,3.158946,-2.338424,-0.3639164,0.5182627,0.6560946,0.5437266,-31.29308,-30.72781,-1.916539,1006.58
1.666484356,-0.1955755,-1.511127,-0.7915395,0.5304072,0.6502177,0.5244522,-31.65715,-30.72694,-1.91607,1006.58
1.701780796,-1.748595,0.02528298,-0.4860944,0.5172995,0.6511594,0.5355532,-31.65715,-30.72694,-1.91607,1006.58
1.734556198,-2.369803,0.3798391,-0.3028273,0.5245712,0.6565908,0.5374532,-31.65715,-30.72694,-1.91607,1006.58
1.767331124,-1.313749,0.8525805,-0.2417383,0.5187885,0.6395532,0.5456758,-31.65039,-31.09138,-1.91034,1006.58
1.800105572,1.295323,0.4980244,-0.3028273,0.5148972,0.6414354,0.5408685,-31.65039,-31.09138,-1.91034,1006.581
1.835402012,-0.6925417,1.088951,0.3080628,0.5105014,0.6536248,0.548081,-30.92827,-30.72274,-1.481898,1006.581
1.868176937,-0.3819378,1.088951,0.5524189,0.5061434,0.6502428,0.5572423,-32.02123,-30.72607,-1.9156,1006.581
1.900952339,-2.742527,0.3798391,0.3080628,0.5071314,0.6449572,0.5663938,-32.02123,-30.72607,-1.9156,1006.581
1.933727264,4.152879,-0.6247365,0.1858848,0.5139471,0.6346859,0.5519523,-31.27955,-31.45669,-1.90508,1006.581
1.966502190,0.3635115,1.148044,0.857864,0.5099828,0.6662366,0.5413242,-31.65715,-30.72694,-1.91607,1006.575
2.001798153,1.792289,0.6162097,0.6135079,0.5144167,0.6405008,0.5471288,-31.65715,-30.72694,-1.91607,1006.575
2.034573078,1.543806,-0.6838292,-0.1806493,0.5129307,0.6536685,0.5514447,-31.65039,-31.09138,-1.91034,1006.574
2.067348003,1.916531,-1.215663,-1.463519,0.5299482,0.6410304,0.5345757,-31.67067,-29.99806,-1.92753,1006.574
2.100123405,-3.363735,-0.6838292,-1.524608,0.5211791,0.654144,0.5398718,-31.67067,-29.99806,-1.92753,1006.574
2.135419846,-7.153102,-1.452034,-2.502032,0.5115475,0.6229838,0.5529383,-31.28631,-31.09225,-1.910809,1006.575
2.168194771,-1.003146,-2.397517,-5.006681,0.5212364,0.6338263,0.5596381,-31.65715,-30.72694,-1.91607,1006.575
