Time (s),W,X,Y,Z
0.511765003,-0.8903894,0.2231804,-0.3665505,0.1402337
0.546411991,-0.9024911,0.2203783,-0.3383999,0.1380444
0.610757351,-0.9304394,0.1663722,-0.3060986,0.09764314
0.645404339,-0.9420073,0.1445423,-0.2864366,0.07944505
0.677577019,-0.9475656,0.1472192,-0.268266,0.07146358
0.712224483,-0.9489754,0.1631192,-0.2558749,0.06319365
0.744396686,-0.9545437,0.140283,-0.2512993,0.05141389
0.779044151,-0.9580901,0.1162556,-0.2496397,0.05343893
0.811216354,-0.9596098,0.1063034,-0.2474214,0.05708717
0.845863819,-0.9606684,0.101189,-0.2449232,0.05930667
0.878035545,-0.9601076,0.1044058,-0.2453224,0.06113618
0.912683010,-0.9588053,0.1115817,-0.2472419,0.06116577
0.944855213,-0.9582356,0.1146492,-0.2483509,0.05991321
0.979502678,-0.9583975,0.1137404,-0.2485931,0.05802138
1.011675358,-0.9587495,0.1116602,-0.2484336,0.05691857
1.046322346,-0.9591172,0.1103001,-0.2478929,0.05572095
1.078495025,-0.9595382,0.1089402,-0.2471044,0.05464296
1.113142013,-0.9598041,0.1084792,-0.2465008,0.05360388
1.145314693,-0.9601554,0.1073875,-0.2458285,0.05258792
1.177487373,-0.9604638,0.10641,-0.245219,0.05178417
1.212134361,-0.9607265,0.1051738,-0.2448358,0.05124584
1.244307041,-0.9609609,0.1040139,-0.2445117,0.05076444
1.278954029,-0.9612693,0.1022804,-0.244139,0.05023696
1.311126232,-0.9614878,0.1009119,-0.2439178,0.0498977
1.345773220,-0.9613751,0.1016812,-0.2441345,0.04944449
1.377945900,-0.9613671,0.101767,-0.2443468,0.04836611
1.412592888,-0.9615125,0.1012436,-0.2442339,0.04712819
1.444765568,-0.961612,0.1004971,-0.2443085,0.04630179
1.479412556,-0.9616376,0.1004166,-0.2443912,0.04549997
1.511585235,-0.9618596,0.09937685,-0.2441245,0.04451241
1.546232700,-0.9620405,0.09902977,-0.2436754,0.04383082
1.578404903,-0.9622382,0.09829207,-0.2433138,0.0431551
1.613052368,-0.9624115,0.0975526,-0.2430019,0.04272399
1.645225048,-0.9625311,0.09708171,-0.242799,0.04225395
1.677397251,-0.9625889,0.09700516,-0.2427064,0.04163935
1.712044716,-0.9626302,0.09692077,-0.2426842,0.04100781
1.744216442,-0.9626857,0.09683804,-0.2425756,0.04053851
1.778863907,-0.9627376,0.09674133,-0.2425443,0.03971563
1.811036110,-0.9627915,0.09622582,-0.2426249,0.03916543
1.845683575,-0.9629577,0.09594596,-0.2422051,0.03835506
1.877855778,-0.9632902,0.09434976,-0.2416,0.03777998
1.912503242,-0.9634649,0.09349822,-0.2412975,0.03737153
1.944675922,-0.9634291,0.09442234,-0.2411,0.03724536
1.979322910,-0.9638034,0.09256418,-0.2404164,0.03664286
2.011495590,-0.9637778,0.09350101,-0.2401481,0.03669495
2.046142578,-0.9638556,0.09361367,-0.2399522,0.03562842
2.078315258,-0.9640194,0.09287912,-0.2396502,0.03514847
2.112962246,-0.9641287,0.09258501,-0.2393697,0.03483787
2.145134926,-0.9642016,0.09231053,-0.2392419,0.03442679
2.179782390,-0.9642714,0.09197854,-0.2391533,0.03396865
2.211954117,-0.964284,0.09221322,-0.2390927,0.0333972
2.244126797,-0.9642471,0.09250009,-0.2391937,0.03294674
2.278773784,-0.9641777,0.09300603,-0.2393136,0.03267904
2.310946464,-0.9636062,0.09660646,-0.2400964,0.03334026
2.345593452,-0.9613259,0.1101876,-0.2428082,0.03719049
2.377766132,-0.9582323,0.1283197,-0.2453006,0.04219264
2.412413120,-0.9482582,0.1738347,-0.2511683,0.06426501
2.444585800,-0.9222929,0.2643916,-0.2587162,0.09574168
2.479233265,-0.883995,0.3536662,-0.2668948,0.1373589
2.511405468,-0.8548837,0.3984016,-0.2735564,0.1795676
2.546052933,-0.8302421,0.4190113,-0.2810338,0.2297284
2.578224659,-0.8046742,0.433713,-0.2825425,0.2849381
2.612872124,-0.7833567,0.4297558,-0.2787468,0.3472607
2.645044327,-0.7658111,0.414006,-0.2699752,0.4072754
2.679691791,-0.7490762,0.3884514,-0.2580489,0.4669354
2.711864471,-0.7421557,0.3434781,-0.2500017,0.5151258
2.746511459,-0.7316653,0.2858137,-0.2363061,0.5690021
2.778684139,-0.7138656,0.2290592,-0.2082104,0.6254627
2.810856342,-0.700746,0.1383129,-0.1976667,0.6688645
2.845503807,-0.682221,0.04239211,-0.1967515,0.7004954
2.877676487,-0.6671762,-0.03072258,-0.2018797,0.7140056
2.912323475,-0.6587699,-0.08321978,-0.1974348,0.718849
2.944495201,-0.6549413,-0.120924,-0.2000727,0.7162596
2.979142666,-0.6527452,-0.1448505,-0.1931365,0.7157291
3.011315346,-0.6474088,-0.161823,-0.1861068,0.7187956
3.045962333,-0.6367132,-0.1788235,-0.1752006,0.727015
3.078135013,-0.6221352,-0.1930041,-0.161458,0.7390915
3.112782001,-0.6141518,-0.2006481,-0.1669884,0.742496
3.144954681,-0.6189144,-0.1805048,-0.149304,0.7474617
3.179601669,-0.6063104,-0.2055888,-0.1764351,0.7453986
3.211774349,-0.5937746,-0.2288056,-0.2077293,0.7406456
3.246421814,-0.6013228,-0.209425,-0.1883791,0.7454482
3.278594017,-0.5999715,-0.1998486,-0.1819757,0.7507376
3.310766220,-0.5959251,-0.2067827,-0.2018,0.7470065
3.345413208,-0.5961413,-0.1995286,-0.1971853,0.750033
3.377585888,-0.6021166,-0.1804351,-0.1792089,0.7545931
3.412232876,-0.6004317,-0.1930559,-0.1948221,0.7489213
3.444405556,-0.5989004,-0.2074818,-0.2142071,0.7409539
3.479052544,-0.6121073,-0.179372,-0.1849311,0.7453715
3.511225223,-0.6192892,-0.1660427,-0.1711619,0.7458162
3.545872688,-0.6223729,-0.1659159,-0.1729622,0.7428566
3.578044891,-0.6277764,-0.1638996,-0.173769,0.7385566
3.612692356,-0.6303902,-0.1614176,-0.1696816,0.7378269
3.644865036,-0.6320362,-0.1654027,-0.1784587,0.7334525
3.679512024,-0.6290435,-0.1720587,-0.1813577,0.7337828
3.711683750,-0.6228835,-0.1848984,-0.1915312,0.7333295
3.746331215,-0.6224436,-0.1872836,-0.1893111,0.7336743
3.778503895,-0.6273508,-0.1762732,-0.1780446,0.7350419
3.813150883,-0.6338801,-0.1656689,-0.1694162,0.7339452
3.845323563,-0.6371723,-0.1649837,-0.1712324,0.7308208
3.877495766,-0.638963,-0.1658282,-0.173746,0.7284691
3.912143230,-0.640826,-0.1631086,-0.1696345,0.7284157
3.944315910,-0.6410511,-0.1631603,-0.1694315,0.7282533
3.978962898,-0.6427981,-0.1597294,-0.1673067,0.7279652
4.011134624,-0.646417,-0.1556218,-0.169188,0.7252102
4.045782089,-0.6474628,-0.1579026,-0.1789413,0.7214335
4.077954769,-0.6475801,-0.160273,-0.1872911,0.7186811
4.112601757,-0.6492323,-0.1565613,-0.1924868,0.7166327
4.144774437,-0.656952,-0.1414688,-0.1958816,0.7117996
4.179421425,-0.6711665,-0.101804,-0.1880265,0.7074215
4.211594105,-0.6825526,-0.06158543,-0.1966985,0.6987607
4.246241093,-0.6933692,-0.02171093,-0.2317278,0.6794835
4.278413772,-0.6998597,0.006020482,-0.2849248,0.6523846
4.313061237,-0.7048788,0.03280015,-0.3519938,0.6122075
4.345233440,-0.7087798,0.06219943,-0.4112053,0.5668334
4.377405643,-0.7127651,0.09020243,-0.468107,0.5112069
4.412052631,-0.7168705,0.1136892,-0.5234044,0.4425458
4.444225311,-0.7187753,0.131238,-0.5683817,0.3737761
4.478872299,-0.7162562,0.1576235,-0.6008023,0.3127236
4.511044979,-0.7115934,0.1914487,-0.6184343,0.2667373
4.545691967,-0.70534,0.2245255,-0.6369618,0.2073428
4.577864647,-0.6962924,0.2583273,-0.646335,0.1652961
4.612512112,-0.6806273,0.292695,-0.6575239,0.1239592
4.644684315,-0.666479,0.3084784,-0.670911,0.08457405
4.679331779,-0.6456319,0.32229,-0.688103,0.04930115
4.711503506,-0.6275543,0.3210766,-0.7068582,0.008022498
4.746150970,-0.6076129,0.3104808,-0.7277604,-0.03742225
4.778323173,-0.5899509,0.2972848,-0.7441873,-0.07995375
4.812970638,-0.5684926,0.2896549,-0.7589086,-0.1166256
4.845143318,-0.5497248,0.286829,-0.7696119,-0.1409145
4.879790306,-0.5363523,0.2876143,-0.7750294,-0.1598792
4.911962986,-0.5284104,0.2931841,-0.7769741,-0.1666268
4.944135189,-0.525555,0.2997937,-0.7764001,-0.1665718
4.978782654,-0.5280691,0.3033433,-0.7726959,-0.1693943
5.010954380,-0.5343791,0.3007386,-0.76723,-0.1788326
5.045601845,-0.5405721,0.2969405,-0.7624024,-0.1870249
5.077774048,-0.5430812,0.2938566,-0.7605181,-0.192227
5.112421512,-0.5464444,0.2905071,-0.7580077,-0.1976263
5.144594192,-0.5538435,0.2881596,-0.7514001,-0.2055408
5.179241180,-0.5735669,0.2805301,-0.7324274,-0.2291324
5.211413860,-0.6020128,0.2721228,-0.7029994,-0.256806
5.246060848,-0.6431704,0.2752278,-0.6561918,-0.2768056
5.278233051,-0.694415,0.276873,-0.5908292,-0.2977878
5.312880039,-0.7100645,0.2820842,-0.5517505,-0.3292937
5.345052719,-0.7121212,0.1653714,-0.5572258,-0.3894385
5.379699707,-0.706751,0.2943544,-0.5762902,-0.2799565
5.411872387,-0.7036304,0.2796689,-0.5824322,-0.2899826
5.446519375,-0.7168403,0.2923635,-0.5696728,-0.2697482
5.478692055,-0.7218123,0.2968605,-0.5698782,-0.250454
5.510864735,-0.7177451,0.3130676,-0.5763224,-0.2265193
5.545511722,-0.7173761,0.3138404,-0.5806243,-0.2153577
5.577683926,-0.7214029,0.310948,-0.5839987,-0.1961182
5.612330913,-0.7237215,0.3125909,-0.5903971,-0.1630122
5.644503593,-0.7283979,0.3064102,-0.5960335,-0.1300799
5.711323261,-0.7438968,0.2718783,-0.6048723,-0.05879589
5.745970249,-0.7521299,0.2486385,-0.6073562,-0.01501777
5.778142929,-0.7630455,0.2296945,-0.6004527,0.03295926
5.812790394,-0.7742929,0.2149798,-0.5844406,0.09649235
5.844962120,-0.7840708,0.2049335,-0.5609426,0.1587642
5.879609108,-0.795982,0.1902605,-0.5248148,0.2267391
5.911781788,-0.8086483,0.1706568,-0.4786601,0.2906478
5.946429253,-0.8152801,0.1560995,-0.4239396,0.3575667
5.978601456,-0.8149208,0.1549061,-0.3610995,0.4220695
6.010774136,-0.8090897,0.1605288,-0.2968219,0.4776279
6.045421600,-0.7954318,0.1788694,-0.2202224,0.5323755
6.077593326,-0.7809765,0.1938403,-0.1571889,0.5695794
6.112240314,-0.7704473,0.185499,-0.1073147,0.5975887
6.144412994,-0.7661774,0.1615503,-0.08233584,0.6137768
6.179059982,-0.761601,0.1297015,-0.06584207,0.6288353
6.211232662,-0.7539088,0.1124626,-0.0439279,0.643173
