Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.511765003,10.66282,84.92951,-41.0374,0.3062821,-0.09477375,0.8615236,-17.54992,-20.9171,-37.24733,1006.773
0.546411991,-61.82507,64.68824,-55.62371,0.4933951,0.4033463,0.9357022,-17.54992,-20.9171,-37.24733,1006.775
0.610757351,-120.9826,63.56372,-59.17836,0.6840742,0.2196439,0.7767226,-10.32635,-16.85027,-39.08998,1006.771
0.645404339,-53.83912,68.23934,-54.09153,0.5489978,0.1831321,0.8644419,-10.32635,-16.85027,-39.08998,1006.771
0.677577019,53.90982,51.84509,-29.94445,0.4339859,0.3452822,0.9208359,-8.462406,-13.47452,-41.28405,1006.769
0.712224483,-24.41395,23.7914,-7.635972,0.3090884,0.899763,1.17914,-5.05337,-10.84922,-40.8682,1006.771
0.744396686,-109.1879,11.95439,5.418164,0.3284872,0.2142288,0.9154378,-5.05337,-10.84922,-40.8682,1006.771
0.779044151,-42.10591,5.621595,10.32113,0.4307136,0.03416089,0.8561235,-2.780984,-12.40028,-40.42608,1006.773
0.811216354,-15.6294,8.107366,4.069849,0.4614634,0.04602829,0.9672763,-3.173686,-8.600628,-41.78159,1006.773
0.845863819,-4.449065,1.656199,-1.384696,0.4509865,0.04389928,0.9991685,-3.173686,-8.600628,-41.78159,1006.774
0.878035545,30.0134,-7.162368,0.02490552,0.4911341,0.1463747,0.9070947,-3.544819,-7.06504,-41.34082,1006.776
0.912683010,18.34162,-5.386817,1.005498,0.518371,0.2182455,0.8033212,-2.399186,-6.688644,-40.45592,1006.774
0.944855213,4.458344,-0.8295712,1.802229,0.4966065,0.2504476,0.8110198,-2.399186,-6.688644,-40.45592,1006.774
0.979502678,-7.950599,1.774569,0.4539147,0.5034344,0.1986682,0.8355932,-2.795232,-7.843729,-41.78725,1006.774
1.011675358,-3.281888,1.892939,0.2700536,0.5102649,0.173971,0.8473759,-2.411514,-7.843413,-41.3429,1006.774
1.046322346,-4.571926,3.017454,-0.4041037,0.4929132,0.1887618,0.8659757,-2.417293,-7.849098,-41.78918,1006.774
1.078495025,-1.868988,2.484789,-0.2815296,0.4752378,0.1761784,0.8592888,-2.417293,-7.849098,-41.78918,1006.774
1.113142013,-1.254684,2.011309,0.3926277,0.4797114,0.1999257,0.8575149,-2.795232,-7.843729,-41.78725,1006.774
1.145314693,-3.404748,2.603159,0.2087666,0.4561727,0.1815619,0.8527632,-2.789711,-8.219177,-41.33911,1006.774
1.177487373,-3.957622,1.892939,0.6990628,0.4681693,0.1967533,0.8792864,-2.789711,-8.219177,-41.33911,1006.77
1.212134361,-1.377545,1.123534,1.863516,0.4734662,0.1865071,0.8757786,-2.783675,-7.83236,-40.89469,1006.77
1.244307041,-4.326205,1.478644,2.292525,0.4664366,0.1699199,0.8602834,-2.405222,-7.075461,-40.90034,1006.77
1.278954029,-3.527609,0.8867941,0.8216369,0.46499,0.1515673,0.8712316,-2.405222,-7.075461,-40.90034,1006.769
1.311126232,-0.02607576,-0.4744612,-0.2815296,0.4633603,0.1349826,0.8595421,-2.795232,-7.843729,-41.78725,1006.769
1.345773220,2.431141,-1.184681,0.08619255,0.4828365,0.1947712,0.8834712,-2.416779,-7.086831,-41.7929,1006.769
1.377945900,0.3425067,0.531684,0.8216369,0.4806109,0.1843771,0.8559322,-2.416779,-7.086831,-41.7929,1006.77
1.412592888,-2.974735,0.413314,-0.4041037,0.4728508,0.1762387,0.8655776,-2.794718,-7.081462,-41.79097,1006.769
1.444765568,0.2196459,-0.0009811223,-0.3428166,0.4922397,0.1605486,0.8575554,-2.411257,-7.46228,-41.34476,1006.769
1.479412556,-1.008962,0.531684,0.1474796,0.4792021,0.1810495,0.864112,-2.411257,-7.46228,-41.34476,1006.769
1.511585235,-2.851875,1.597014,-0.0363815,0.4683181,0.1548555,0.8591776,-2.416779,-7.086831,-41.7929,1006.769
1.546232700,-0.1489366,1.419459,0.3926277,0.4636422,0.1835959,0.8695802,-2.411257,-7.46228,-41.34476,1006.769
1.578404903,-3.097596,1.478644,0.4539147,0.4689314,0.1665727,0.8684265,-2.411257,-7.46228,-41.34476,1006.77
1.613052368,-0.8861015,0.8867941,0.2087666,0.4640401,0.1578823,0.8712925,-2.783418,-7.451227,-40.89655,1006.77
1.645225048,-0.5175191,0.354129,-0.0363815,0.4635784,0.1612936,0.8727709,-2.416779,-7.086831,-41.7929,1006.77
1.677397251,1.141102,-0.1785362,0.2087666,0.4651736,0.1754292,0.8815485,-2.416779,-7.086831,-41.7929,1006.77
