Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.917713165,51.54688,85.78125,3.78625,263.125,0
1.796447277,51.53516,85.78125,3.78625,260.3125,0
2.851380825,51.52344,85.59375,3.784375,254.0625,0
3.906216145,51.52344,85.78125,3.785,248.75,0
4.785296917,51.51172,85.5,3.783125,253.4375,0
5.839855671,51.5,85.40625,3.78375,262.8125,0
6.894741535,51.48828,85.6875,3.785,262.1875,0
7.949804306,51.47656,85.6875,3.785,265,0
8.828531742,51.47656,85.6875,3.785,262.8125,0
9.883327007,51.46484,85.40625,3.784375,272.1875,0
10.938212395,51.44922,84.9375,3.784375,274.6875,0
11.817064285,51.4375,85.03125,3.7825,256.25,0
12.871821403,51.42578,85.125,3.781875,262.5,0
13.926784992,51.41406,85.21875,3.786875,262.8125,0
14.805806637,51.41406,85.21875,3.7825,256.5625,0
15.860685825,51.40234,85.3125,3.784375,255.3125,0
16.915345669,51.39063,85.40625,3.78625,253.75,0
17.794343948,51.37891,85.59375,3.783125,268.75,0
18.848984718,51.36719,85.3125,3.78375,260.9375,0
19.903781891,51.35156,85.21875,3.783125,255.625,0
20.782777309,51.35156,85.125,3.784375,266.5625,0
21.837674141,51.33984,85.125,3.78375,268.4375,0
22.892480850,51.32813,85.125,3.783125,271.875,0
23.947259903,51.31641,85.21875,3.783125,255.3125,0
24.826276779,51.30469,84.9375,3.785,281.25,0
25.881093025,51.30469,85.125,3.785625,273.125,0
26.935748577,51.29297,84.84375,3.784375,272.5,0
27.814740181,51.28125,84.9375,3.784375,256.875,0
28.869501114,51.26953,84.9375,3.783125,268.4375,0
29.924431324,51.25391,85.125,3.779375,265.9375,0
30.803445339,51.25391,85.03125,3.784375,243.75,0
31.858093739,51.24219,84.9375,3.784375,242.5,0
32.913012505,51.23047,84.84375,3.783125,274.6875,0
33.792007923,51.21875,84.65625,3.7825,270.625,0
34.846670151,51.20703,84.65625,3.783125,261.25,0
35.901644230,51.19531,84.65625,3.78375,264.0625,0
36.780690193,51.19531,84.65625,3.78375,274.375,0
37.835402966,51.18359,84.75,3.78375,264.6875,0
38.890058994,51.17188,84.75,3.7825,244.375,0
39.945175648,51.15625,84.9375,3.781875,251.25,0
40.823851585,51.14453,84.9375,3.781875,261.5625,0
41.878635883,51.14453,85.21875,3.783125,262.8125,0
42.933595657,51.13281,85.21875,3.78375,273.75,0
43.812611580,51.12109,84.9375,3.783125,258.4375,0
44.867376327,51.10938,84.9375,3.781875,277.5,0
45.922171593,51.09766,84.75,3.781875,263.125,0
46.801196098,51.09766,84.84375,3.78125,274.375,0
47.855839729,51.08594,84.75,3.78375,264.0625,0
