Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.966758728,45.68,32.936
1.966076374,45.632,32.938
2.965394497,45.662,32.94
3.967217922,45.644,32.942
4.966536999,45.716,32.944
5.965856075,45.676,32.946
6.965175629,45.718,32.948
7.966999531,45.71,32.95
8.966320038,45.774,32.952
9.965641022,45.744,32.954
10.967465878,45.724,32.956
11.966787338,45.776,32.96
12.966108322,45.696,32.962
13.965430737,45.754,32.964
14.967256546,45.788,32.966
15.966579914,45.774,32.968
16.965901852,45.816,32.97
17.965225697,45.796,32.972
18.967052937,45.814,32.976
19.966377258,45.836,32.978
20.965701580,45.806,32.98
21.965025902,45.874,32.982
22.966854572,45.914,32.984
23.966180325,45.85,32.986
24.965505123,45.89,32.988
25.967335701,45.94,32.992
26.966661930,45.952,32.994
27.965987205,45.92,32.994
28.965314388,45.904,32.996
29.967144966,45.914,32.998
30.966471672,45.95,33
31.965798378,45.922,33.002
32.965126038,45.936,33.002
33.966957569,45.97,33.004
34.966285229,45.968,33.004
35.965612888,45.978,33.006
36.964940071,45.95,33.006
37.966772556,46.032,33.008
38.966100693,46.024,33.01
39.965428829,46.006,33.012
40.967262745,46.034,33.012
41.966591358,45.996,33.014
42.965920448,46.016,33.016
43.965249538,46.07,33.016
44.967082977,46.056,33.018
45.966412544,46.004,33.018
46.965742111,46.078,33.02
47.965071678,46.02,33.022
48.966906548,46.092,33.022
49.966237068,46.056,33.024
50.965567112,46.06,33.024
51.964897156,46.076,33.026
52.966732979,46.116,33.028
53.966063976,46.128,33.028
54.965394974,46.126,33.03
55.964725494,46.136,33.032
56.966561794,46.14,33.032
57.965894222,46.116,33.034
58.965225697,46.146,33.036
59.967062473,46.128,33.038
60.966395378,46.148,33.042
61.965728283,46.2,33.044
62.965061665,46.172,33.044
63.966898918,46.166,33.046
64.966232777,46.14,33.048
65.965566158,46.172,33.05
66.964899540,46.15,33.05
67.966738224,46.176,33.052
68.966071606,46.234,33.052
69.965405941,46.214,33.052
70.964740276,46.218,33.054
71.966578484,46.224,33.054
72.965913296,46.238,33.054
73.965247631,46.24,33.056
74.964581966,46.254,33.056
75.966421127,46.224,33.058
76.965756416,46.236,33.06
77.965091228,46.262,33.06
78.966930866,46.268,33.06
79.966266155,46.246,33.062
80.965601921,46.254,33.062
81.964937687,46.294,33.064
82.966778278,46.276,33.066
83.966114521,46.292,33.066
84.965450764,46.306,33.068
85.964787960,46.264,33.07
86.966629505,46.302,33.072
87.965966225,46.336,33.072
88.965303898,46.3,33.074
89.964641571,46.328,33.076
90.966484547,46.318,33.078
91.965822697,46.334,33.08
92.965160847,46.342,33.082
93.964499950,46.388,33.082
94.966343403,46.404,33.084
95.965682507,46.416,33.086
96.965022087,46.386,33.086
97.966866016,46.396,33.088
98.966205597,46.418,33.09
99.965546131,46.404,33.092
100.964886188,46.466,33.094
101.966731071,46.45,33.096
102.966072083,46.448,33.098
103.965413570,46.464,33.098
104.964754581,46.534,33.1
105.966600895,46.478,33.102
106.965942860,46.456,33.104
107.965284824,46.502,33.106
108.964627743,46.516,33.108
109.966474533,46.546,33.11
110.965817451,46.516,33.112
111.965160847,46.534,33.114
112.964504719,46.524,33.116
113.966352940,46.514,33.118
114.965697289,46.566,33.12
115.965042114,46.61,33.122
116.964386463,46.62,33.122
117.966235638,46.578,33.126
118.965581417,46.596,33.126
119.964927196,46.576,33.128
120.966777325,46.628,33.13
121.966122627,46.618,33.132
122.965468884,46.656,33.134
123.964815140,46.622,33.136
124.966666222,46.66,33.138
125.966012955,46.648,33.138
126.965360165,46.728,33.14
