Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.010592461,0.009129502,-0.05687159,-0.1606818,-0.1162092,-0.06701866,0.9784826,-7.007789,26.50371,-47.99042,1006.727
0.042764664,0.7462944,0.1798685,-0.09939483,-0.1092445,-0.05145768,0.9867399,-7.008046,26.12257,-47.98856,1006.727
0.077410221,0.1319903,0.4166085,0.02317921,-0.1087568,-0.04662468,0.9843652,-7.008046,26.12257,-47.98856,1006.733
0.109582424,-0.7280354,0.06149844,-0.3445429,-0.1141363,-0.05047707,0.9848657,-7.013824,26.11689,-48.43484,1006.733
0.144228935,-1.219479,0.06149844,-0.7122651,-0.1121602,-0.04853056,0.9867913,-7.764183,25.75218,-47.98283,1006.733
0.176400185,-1.40377,-0.5303516,-0.09939483,-0.1155757,-0.05238171,0.9887193,-7.764183,25.75218,-47.98283,1006.733
0.211046696,-1.158048,-0.3527966,-0.03810781,-0.109811,-0.06555012,0.984219,-7.008046,26.12257,-47.98856,1006.735
0.243218422,0.1319903,-0.1160566,-0.1606818,-0.1108271,-0.07428598,0.9836744,-7.007789,26.50371,-47.99042,1006.733
0.275389671,0.07055992,-0.9446468,-0.2832559,-0.1199283,-0.06054476,0.9973686,-7.007789,26.50371,-47.99042,1006.733
0.310036182,1.422029,-3.785527,-1.263848,-0.1296832,-0.06242605,0.9988901,-6.630106,26.1172,-47.99049,1006.733
0.342207432,5.722158,-5.383523,-1.263848,-0.1082751,-0.04421495,0.9824526,-7.390939,26.12307,-48.36915,1006.735
0.376853943,0.5620032,-3.193677,-0.9574131,-0.09680675,-0.0677059,0.9647999,-7.390939,26.12307,-48.36915,1006.733
0.409025669,0.684864,0.002313428,-0.3445429,-0.08607055,-0.05180114,0.9571189,-7.391506,26.50339,-48.43477,1006.733
0.443671703,0.3162816,2.251344,1.187633,-0.1050067,-0.06322534,0.9740714,-7.769135,25.74731,-48.36536,1006.733
0.475843430,1.54489,2.014604,0.8811975,-0.1102808,-0.06214621,0.9847335,-7.769135,25.74731,-48.36536,1006.733
0.510489941,1.053447,2.428899,1.065059,-0.1086944,-0.03544584,0.9863847,-7.008304,25.74144,-47.98669,1006.737
0.542661190,-1.158048,2.547269,1.065059,-0.1076675,-0.0407236,0.9950076,-7.008304,25.74144,-47.98669,1006.737
0.577307701,-0.5437442,1.896234,0.4521884,-0.105778,-0.05287936,0.9934437,-7.008304,25.74144,-47.98669,1006.735
0.609478950,-0.6051747,1.126829,-0.8348391,-0.1111415,-0.05091443,0.993028,-7.769703,26.12763,-48.43097,1006.735
0.644125461,0.1319903,0.1798685,-0.9574131,-0.1174337,-0.05905655,1.003142,-7.386243,25.74681,-47.98476,1006.735
0.676297665,-0.6666051,-1.418127,-0.528404,-0.1071351,-0.03488285,0.9974608,-7.386243,25.74681,-47.98476,1006.735
0.710943222,-2.8781,-0.2344266,-0.1606818,-0.1085357,-0.0720154,0.9648739,-7.008304,25.74144,-47.98669,1006.739
0.743115425,1.790612,0.4166085,0.3296143,-0.1123479,-0.07336324,0.9764662,-7.386243,25.74681,-47.98476,1006.739
0.777761936,2.343485,0.4166085,-0.2219689,-0.1043203,-0.05144165,0.991996,-7.386243,25.74681,-47.98476,1006.739
0.809933186,0.7462944,0.3574235,-0.467117,-0.1077264,-0.03932652,0.9873077,-7.386243,25.74681,-47.98476,1006.738
0.842104912,-0.8508963,0.002313428,-0.2832559,-0.1135997,-0.04946811,0.9901708,-7.390939,26.12307,-48.36915,1006.738
0.876750946,-0.6051747,-0.4119816,-0.2219689,-0.1145734,-0.05284616,0.9920801,-8.146816,26.13381,-48.36528,1006.738
0.908922672,-1.526631,-0.1160566,0.6360494,-0.1073876,-0.06267592,0.980846,-8.146816,26.13381,-48.36528,1006.738
0.943569183,1.237738,0.7125336,-0.2832559,-0.1127916,-0.0636492,0.9770324,-7.014082,25.73576,-48.43298,1006.74
0.975740433,2.343485,0.1206835,-0.467117,-0.1184607,-0.0537788,0.9945187,-7.008046,26.12257,-47.98856,1006.74
1.010386944,1.053447,-0.2344266,0.3909014,-0.119927,-0.04555297,0.9902621,-7.008046,26.12257,-47.98856,1006.738
1.042558193,-0.359453,-0.4119816,0.3909014,-0.1029174,-0.05150445,0.9847525,-7.397542,26.11657,-48.87919,1006.738
1.077204704,-0.6051747,-0.5303516,-1.754144,-0.09800093,-0.05826546,0.9923627,-7.014082,25.73576,-48.43298,1006.738
1.109376431,-0.9737571,-0.4711667,-1.325135,-0.120411,-0.04361263,0.9898006,-7.014082,25.73576,-48.43298,1006.736
1.144022465,-1.40377,-0.7670917,0.3296143,-0.1131419,-0.05385019,0.9886845,-7.008304,25.74144,-47.98669,1006.738
1.176194191,-1.710922,-0.5303516,0.2070403,-0.1074077,-0.06752986,0.9808062,-7.386243,25.74681,-47.98476,1006.738
1.210840702,0.1934207,0.5941636,-0.09939483,-0.108527,-0.08264604,0.9710521,-7.386243,25.74681,-47.98476,1006.74
1.243011952,3.510663,0.8900887,0.02317921,-0.1079063,-0.05641506,0.9741546,-7.386243,25.74681,-47.98476,1006.74
1.277658463,2.159194,0.8309036,0.4521884,-0.1120613,-0.03635138,0.9926746,-7.385985,26.12794,-47.98663,1006.74
1.309829712,-0.2980226,0.5349786,0.8199105,-0.1165135,-0.0431543,0.9888041,-7.385985,26.12794,-47.98663,1006.74
1.342001915,-0.8508963,0.4757935,0.8199105,-0.1078372,-0.05828644,0.9832965,-7.392021,25.74113,-48.43105,1006.739
1.376648426,1.667751,1.186014,-0.1606818,-0.105015,-0.06129855,0.9721593,-7.386499,25.36567,-47.9829,1006.743
1.408819199,0.9305857,0.002313428,-0.650978,-0.1106979,-0.05869427,0.9915137,-7.386499,25.36567,-47.9829,1006.743
1.443466187,1.176307,-0.1160566,0.08446624,-0.1193823,-0.04356953,0.9960575,-7.013824,26.11689,-48.43484,1006.741
1.475637913,0.5005728,-0.1160566,0.6973364,-0.113685,-0.04954569,0.9800491,-7.392021,25.74113,-48.43105,1006.741
1.510283947,0.07055992,-0.2936116,0.3296143,-0.1053287,-0.05146629,0.9881492,-7.392021,25.74113,-48.43105,1006.741
1.542455673,-0.1137313,-0.05687159,-0.467117,-0.1053308,-0.05098459,0.9876713,-7.758661,25.37673,-47.53469,1006.743
1.577102184,0.3162816,0.06149844,-0.2219689,-0.118441,-0.04215521,0.9912404,-7.014082,25.73576,-48.43298,1006.743
1.609273434,-1.219479,-0.05687159,0.6360494,-0.1121823,-0.0529028,0.9862733,-7.014082,25.73576,-48.43298,1006.743
1.643919945,-0.2980226,0.06149844,0.4521884,-0.1084303,-0.06708388,0.9750355,-7.758405,25.75786,-47.53655,1006.741
1.676091194,2.220624,1.067644,0.1457533,-0.1039739,-0.06511272,0.9817582,-7.770217,25.36536,-48.42725,1006.741
1.710737705,2.527776,0.2982385,-0.528404,-0.1100869,-0.04069282,0.9974404,-7.770217,25.36536,-48.42725,1006.744
1.742909431,1.60632,0.4757935,0.08446624,-0.1199232,-0.0416809,0.9888481,-7.396974,25.73625,-48.81357,1006.742
1.777555466,-1.158048,0.3574235,0.3296143,-0.1188239,-0.03045157,0.9980883,-7.392535,24.97886,-48.42732,1006.742
1.809727192,-2.202365,-0.1160566,0.2683273,-0.1111702,-0.04610481,0.987284,-7.392535,24.97886,-48.42732,1006.74
1.844373703,-0.2980226,-0.2344266,0.08446624,-0.110261,-0.0534239,0.9828772,-7.396974,25.73625,-48.81357,1006.738
1.876544952,-0.2980226,-0.05687159,-0.3445429,-0.1117006,-0.04952598,0.9838867,-6.636142,25.73039,-48.43491,1006.737
1.908717155,0.1934207,0.06149844,-0.2219689,-0.1184834,-0.04654592,0.9883125,-7.386757,24.98454,-47.98104,1006.739
1.943363667,-0.5437442,0.06149844,0.3909014,-0.1126686,-0.04564529,0.9829638,-7.386757,24.98454,-47.98104,1006.739
1.975534916,-0.05230091,0.2390535,0.02317921,-0.1108037,-0.05395485,0.9766119,-6.624843,25.36062,-47.54049,1006.739
2.010181427,0.2548512,0.1206835,-0.467117,-0.1160457,-0.04607652,0.9878117,-7.008304,25.74144,-47.98669,1006.737
