Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
-0.241579533,52.28125,87.1875,3.78125,266.875,0
0.813125610,52.26953,87.1875,3.7825,250.625,0
1.692234993,52.25781,87.1875,3.78125,255,0
2.747110844,52.24609,87.1875,3.781875,253.75,0
3.801831722,52.23047,87.09375,3.77625,265.3125,0
4.681136131,52.23047,86.90625,3.78125,268.4375,0
5.735723495,52.21875,86.8125,3.781875,261.5625,0
6.790446281,52.20703,86.71875,3.780625,299.0625,0
7.669460773,52.19531,86.53125,3.7825,253.75,0
8.724191189,52.18359,86.53125,3.78125,258.125,0
9.778923035,52.18359,86.71875,3.778125,260,0
10.657960892,52.17188,86.34375,3.778125,259.6875,0
11.712741375,52.16016,86.34375,3.778125,267.8125,0
12.767511368,52.14844,86.53125,3.780625,258.75,0
13.822382927,52.13281,86.53125,3.783125,254.375,0
14.701274872,52.13281,86.625,3.780625,255.3125,0
15.756103039,52.12109,86.625,3.78,262.8125,0
16.811043262,52.10938,86.625,3.78125,256.25,0
17.689922333,52.09766,86.625,3.78125,257.1875,0
18.744888306,52.08594,86.8125,3.78375,248.125,0
19.799516678,52.07422,86.53125,3.78,258.75,0
20.678738594,52.07422,86.53125,3.78125,251.25,0
21.733293533,52.0625,86.625,3.780625,264.0625,0
22.787962437,52.05078,86.625,3.78125,265.625,0
23.667081833,52.03516,86.71875,3.77875,258.125,0
24.721856117,52.02344,86.71875,3.77875,263.4375,0
25.776581764,52.02344,86.71875,3.78125,268.125,0
26.655671120,52.01172,86.53125,3.77625,265,0
27.710619926,52,86.53125,3.779375,283.75,0
28.765372276,51.98828,86.71875,3.779375,259.6875,0
29.819910049,51.97656,86.625,3.77875,270.9375,0
30.699042320,51.97656,86.625,3.779375,256.875,0
31.753904343,51.96484,86.71875,3.779375,255,0
32.808489323,51.95313,86.53125,3.77875,264.6875,0
33.687816143,51.9375,86.34375,3.776875,252.5,0
34.742311954,51.92578,85.875,3.78,273.125,0
35.797199249,51.91406,85.875,3.77875,268.4375,0
36.676165581,51.91406,85.96875,3.778125,265,0
37.730995655,51.90234,85.875,3.78,270,0
38.785879135,51.89063,85.96875,3.775,275.9375,0
39.664835453,51.87891,85.96875,3.7775,260.9375,0
40.719871998,51.86719,85.96875,3.77875,259.0625,0
41.774212360,51.85547,85.96875,3.7775,269.375,0
42.829129696,51.85547,85.96875,3.779375,253.75,0
44.762884617,51.82813,85.96875,3.78,259.0625,0
45.817796707,51.81641,86.15625,3.776875,254.0625,0
46.696644306,51.80469,86.15625,3.77875,265.3125,0
47.751775742,51.80469,85.96875,3.77875,251.5625,0
48.806278229,51.79297,86.0625,3.77875,256.875,0
49.685553551,51.78125,86.0625,3.779375,256.25,0
50.740087986,51.76953,86.0625,3.77625,270.625,0
51.794747353,51.75781,86.15625,3.7775,277.5,0
