Time (s),Humidity (%)
-0.172293186,13.0918
0.828624725,14.1377
1.829543114,14.125
2.827940464,13.85156
3.828859806,13.51563
4.829778194,13.75195
5.828176975,13.11719
6.829096317,13.82715
7.830015182,14.15137
8.828413963,13.55371
9.829333782,14.73633
10.827733040,13.7041
11.828653812,12.62109
12.829574108,13.21875
13.827973366,14.37598
14.828894615,13.7666
15.829815865,12.62207
16.828216076,13.40625
17.829137325,14.61328
18.830059051,14.72559
19.828459740,14.27832
20.829381466,14.72656
21.827782631,14.06641
22.828704834,14.81348
23.829627514,13.96777
24.828029156,13.41992
25.828951836,13.50684
26.829874992,14.56543
27.828277111,14.82715
28.829200745,14.4541
29.827603340,13.63281
30.828527451,14.62891
31.829451561,14.14355
32.827854633,13.30957
33.828778744,13.62109
34.829703808,13.48438
35.828106880,14.48047
36.829032421,14.26855
37.827435970,13.70898
38.828361511,13.68457
39.829286575,14.0957
40.827691078,14.0332
41.828617096,13.56055
42.829543114,13.50977
44.828873634,13
45.829799652,13.28613
46.828204632,12.19043
47.829130650,13.24902
48.827536106,12.19141
49.828462601,11.68066
50.829388618,12.40234
51.827793598,12.81348
52.828719616,12.20313
53.829645634,12.67676
54.828050137,12.91309
55.828976154,12.76367
56.827381134,13.59766
57.828307152,12.50195
58.829233170,11.83008
59.827637196,11.81738
60.828562736,12.29004
61.829488754,13.18652
62.827893257,12.96289
63.828818798,12.81348
64.829743862,13.46094
65.828148365,12.19043
67.827477455,13.31152
68.828402996,13.18652
69.829328060,12.17773
70.827731609,12.83789
71.828656673,13.54688
72.829581261,13.29785
73.827984333,12.55078
74.828908920,11.47949
75.827312469,12.33887
76.828236103,13.6709
77.829160213,12.47559
78.827563286,11.74023
79.828487396,13.32227
80.829411030,13.7207
81.827813625,12.6123
82.828737259,12.82422
83.827139854,13.06055
84.828063011,11.85254
85.828985691,13.13477
86.827387333,12.77344
87.828310013,13.48242
88.829232693,13.1084
89.827633858,14.55273
90.828555584,12.84766
91.829478264,12.28711
92.827878952,13.20801
93.828800678,14.0791
94.827201366,13.0459
95.828123569,12.60938
96.829044819,12.99512
97.827444553,13.00781
98.828365326,14.36426
99.829286575,12.29785
100.827686310,12.65918
101.828606605,13.35645
102.827006340,13.7666
103.827926636,13.28125
104.828847408,12.39746
105.827246666,13.55469
106.828166485,13.51758
107.829086304,12.7334
108.827485084,13.6543
109.828404903,13.7168
110.829324722,13.96484
111.827723503,13.55469
112.828642368,14.59961
113.827041149,13.95215
114.827960491,13.5293
115.828880310,13.4541
116.827278137,12.81934
117.828197479,13.82813
118.829116821,13.33008
119.827514648,13.00586
120.828433037,13.4043
121.826831341,12.25879
122.827749729,12.80664
123.828669071,13.30469
124.827066421,14.02637
125.827984810,14.87207
