Time (s),W,X,Y,Z
-0.505092621,0.1196689,-0.02867257,0.2968956,0.9451655
-0.472317219,0.1195246,-0.02874277,0.2970614,0.9451296
-0.437019825,0.119562,-0.02880542,0.2962777,0.9453689
-0.404244423,0.1195918,-0.02881223,0.2953363,0.9456595
-0.371468544,0.1194284,-0.02891914,0.295537,0.9456142
-0.338692665,0.1191683,-0.029114,0.2960443,0.9454823
-0.303396225,0.1190776,-0.02928551,0.295772,0.9455736
-0.270620346,0.1190456,-0.02936259,0.2953788,0.9456981
-0.237844944,0.1190854,-0.02945428,0.2952486,0.9457309
-0.205069065,0.1191289,-0.02970425,0.295561,0.9456201
-0.172293186,0.1191331,-0.02989738,0.2954736,0.9456409
-0.136996746,0.1192302,-0.03017358,0.29437,0.9459639
-0.104221344,0.1193061,-0.03054694,0.2933223,0.9462677
-0.071445465,0.1193444,-0.03062342,0.2925095,0.946512
-0.038669586,0.1193949,-0.03058984,0.2924376,0.946529
-0.003372669,0.1194414,-0.03046962,0.293197,0.946292
0.029402733,0.1195887,-0.03037399,0.2935389,0.9461704
0.062178135,0.1197855,-0.03036977,0.2933629,0.9462003
0.094954014,0.1197827,-0.03034535,0.2935663,0.9461383
0.127729893,0.1196011,-0.03046081,0.2946157,0.9458315
0.163026810,0.1194842,-0.0305739,0.2946723,0.9458249
0.195802689,0.1195145,-0.03051051,0.2946776,0.9458214
0.228577614,0.1196475,-0.03038748,0.2950767,0.9456841
0.261353493,0.119741,-0.03012672,0.2951722,0.9456508
0.296650410,0.1197068,-0.02993763,0.2954274,0.9455816
0.329426289,0.1196319,-0.02999367,0.2954136,0.9455936
0.362202168,0.1195572,-0.03006161,0.2949796,0.9457363
0.394978047,0.1194936,-0.03024134,0.2946984,0.9458263
0.427752972,0.1193475,-0.03016261,0.2948299,0.9458062
0.463049889,0.1191224,-0.03021634,0.2955069,0.9456216
0.495825768,0.1192151,-0.03025719,0.2954784,0.9456174
0.528601647,0.1195523,-0.03037581,0.2948008,0.9457825
0.561377049,0.1195551,-0.03049319,0.294676,0.9458174
0.596673489,0.1191948,-0.03044788,0.2954337,0.9456279
0.629449367,0.1189052,-0.03051275,0.2961711,0.9454316
0.662225246,0.1188437,-0.03044542,0.2966808,0.9452816
0.695001125,0.1189299,-0.0302974,0.2971596,0.9451252
0.727776527,0.1189879,-0.03006131,0.2979912,0.9448635
0.763073921,0.1190727,-0.02976744,0.298895,0.9445766
0.795848846,0.1192675,-0.02967865,0.2988752,0.9445611
0.828624725,0.1194804,-0.02978071,0.297938,0.944827
0.861400604,0.119597,-0.02993963,0.2972392,0.9450274
0.896697521,0.1195499,-0.03000265,0.2973366,0.9450006
0.929473400,0.1194282,-0.02999664,0.2976076,0.944931
0.962248802,0.1194295,-0.03010783,0.2972312,0.9450458
0.995024204,0.1196158,-0.03032073,0.2959244,0.9454253
1.027799606,0.1197277,-0.03041821,0.29445,0.9458683
1.063097000,0.119573,-0.03050287,0.2944858,0.9458741
1.095872402,0.1194126,-0.0306487,0.29545,0.9455888
1.128648281,0.1194378,-0.03067167,0.2957117,0.9455032
1.161424160,0.1196407,-0.03056248,0.2953105,0.9456064
1.196720600,0.1199271,-0.03030663,0.2952601,0.9455941
1.229496479,0.1200202,-0.03006062,0.2960467,0.9453442
1.262271881,0.1199796,-0.0298099,0.2968639,0.945101
1.295047760,0.120012,-0.02984479,0.2965404,0.9451972
1.327823639,0.1200551,-0.03003859,0.2954164,0.9455376
1.363120079,0.1201198,-0.03009292,0.2943067,0.9458736
1.395895958,0.120174,-0.03033159,0.2939133,0.9459814
1.428671360,0.1201897,-0.03042629,0.2937174,0.9460372
1.461447239,0.1200092,-0.0303714,0.2936612,0.9460794
1.496744156,0.1196378,-0.03031783,0.2947065,0.9458031
1.529520035,0.1193524,-0.03036558,0.2954342,0.9456106
1.562294960,0.1192962,-0.0304716,0.2952365,0.9456759
1.595070839,0.1193965,-0.0307613,0.2943195,0.9459397
1.627846718,0.1195217,-0.03093167,0.2937769,0.946087
1.663143635,0.1196315,-0.03094061,0.2937007,0.9460965
1.695919514,0.1196517,-0.03093086,0.2940818,0.9459758
1.728695393,0.1196305,-0.03098481,0.2943983,0.9458784
1.761470318,0.1196188,-0.0310853,0.2940663,0.9459798
1.794246197,0.1194836,-0.03118422,0.2939349,0.9460346
1.829543114,0.1193357,-0.03117152,0.2942512,0.9459553
1.862318993,0.1192961,-0.03118388,0.2944488,0.9458983
1.895094871,0.1192974,-0.03133635,0.2943555,0.9459221
1.927870274,0.1193704,-0.03143377,0.2936643,0.9461246
1.963166714,0.1194713,-0.03157987,0.2927881,0.9463784
1.995942593,0.1193429,-0.0318328,0.2928538,0.9463658
2.028718472,0.1190945,-0.0319847,0.2933699,0.9462321
2.061494350,0.119004,-0.03209621,0.2931442,0.9463097
2.096791267,0.1189966,-0.03218188,0.2929704,0.9463615
2.129567146,0.1190613,-0.03217156,0.2927682,0.9464163
2.162342072,0.1191093,-0.03209703,0.2926734,0.9464422
2.195117950,0.1191316,-0.032188,0.2927937,0.9463991
2.227893353,0.1191303,-0.03232425,0.2924541,0.9464995
2.263190746,0.1191448,-0.03239352,0.2919847,0.9466403
2.295966625,0.1191624,-0.03238633,0.292141,0.9465901
2.328742027,0.1191304,-0.03237625,0.2924898,0.9464868
2.361517906,0.1191996,-0.03248817,0.2922264,0.9465555
2.394292832,0.1193361,-0.03266845,0.2915196,0.94675
2.429590225,0.1193074,-0.03272848,0.2909644,0.9469224
2.462365627,0.119163,-0.03277678,0.2910641,0.9469082
2.495141506,0.1191019,-0.03293594,0.291264,0.9468489
2.527917385,0.1191224,-0.03302163,0.2908559,0.9469688
2.563213825,0.1192125,-0.03303889,0.2908862,0.9469476
2.595989704,0.1194257,-0.03278151,0.290909,0.9469226
2.628765106,0.119552,-0.03240564,0.29133,0.9467903
2.661540985,0.1196377,-0.0320562,0.2923522,0.9464761
2.694316864,0.1197782,-0.03197181,0.2927881,0.9463264
2.729613781,0.1198377,-0.03200281,0.2921307,0.9465211
2.762389660,0.1198131,-0.0321377,0.2911546,0.9468203
2.795164585,0.1197621,-0.03229477,0.2903146,0.9470793
2.827940464,0.1197703,-0.03240248,0.2896227,0.9472864
2.863237381,0.1199319,-0.03240571,0.2891188,0.9474198
2.896013260,0.1201337,-0.03228229,0.2889985,0.9474352
2.928789139,0.1201933,-0.03213147,0.2894406,0.9472978
2.961565018,0.1200633,-0.03230288,0.2898413,0.9471859
2.994340420,0.1199451,-0.03267761,0.2888618,0.9474871
3.029636860,0.1199192,-0.03348169,0.2870589,0.9480101
3.062412739,0.1201602,-0.03415507,0.2857068,0.948364
3.095188618,0.1206037,-0.03498407,0.2843212,0.9486938
3.127964020,0.1209396,-0.03552896,0.2843361,0.9486265
3.163261414,0.1211448,-0.03628275,0.2840137,0.9486683
3.196037293,0.121092,-0.03707631,0.2832746,0.9488652
3.228812218,0.1205869,-0.03781883,0.2827295,0.9490628
