Time (s),Power (dBm),Percentage (%)
-0.168421269,-51,98
0.331484795,-51,98
0.831450462,-51,98
1.331274986,-49,100
1.831618309,-49,100
2.331465244,-49,100
2.831435204,-51,98
3.331462860,-51,98
3.831411838,-53,94
4.331279755,-53,94
4.831596374,-53,94
5.331234455,-55,90
5.831444263,-53,94
6.331285000,-53,94
6.831620693,-53,94
7.331264973,-55,90
7.831486702,-57,86
8.331459045,-53,94
8.831387043,-57,86
9.331390381,-49,100
9.831593990,-57,86
10.331253529,-57,86
10.831507206,-51,98
11.331436634,-51,98
11.831503868,-60,80
12.331218720,-55,90
12.831572056,-53,94
13.331401348,-53,94
13.831372261,-60,80
14.331379891,-55,90
14.831535339,-53,94
15.331199169,-57,86
15.831349850,-55,90
16.331399441,-60,80
16.831359386,-53,94
17.331367493,-51,98
17.831534386,-55,90
18.331181526,-63,74
18.831453323,-57,86
19.331342220,-69,62
19.831354141,-69,62
20.331145763,-62,76
20.831476212,-65,70
21.331306458,-57,86
21.831317425,-57,86
22.331319809,-58,84
22.831451893,-57,86
23.331152439,-57,86
23.831455231,-61,78
24.331258297,-49,100
24.831297398,-53,94
25.331191540,-47,100
25.831418037,-65,70
26.331155300,-62,76
26.831477165,-57,86
27.331215382,-53,94
27.831290245,-59,82
28.331274033,-57,86
28.831338406,-55,90
29.331121922,-55,90
29.831260204,-51,98
30.331171036,-59,82
30.831376553,-59,82
31.331055164,-65,70
31.831295490,-51,98
32.331257820,-61,78
32.831250668,-55,90
33.331127644,-51,98
33.831391334,-49,100
34.331084728,-49,100
34.831304550,-55,90
35.331258774,-59,82
35.831273556,-59,82
36.331156731,-55,90
36.831392765,-63,74
37.331041336,-60,80
37.831314087,-62,76
38.331236363,-53,94
38.831211567,-65,70
39.331003666,-57,86
39.831335545,-62,76
40.331172943,-67,66
40.831187725,-51,98
41.331178665,-53,94
41.831348419,-47,100
42.331045628,-47,100
42.831109047,-45,100
43.331200600,-47,100
44.331090450,-65,70
44.831335545,-55,90
45.330955982,-65,70
45.831266403,-64,72
46.331179142,-59,82
46.831149578,-61,78
47.330978870,-57,86
47.831277370,-59,82
48.331056118,-60,80
48.831155300,-55,90
49.331121445,-49,100
49.831080437,-55,90
50.330924988,-51,98
50.831254959,-51,98
51.331148148,-57,86
51.831101894,-49,100
52.330905438,-49,100
52.831281662,-53,94
53.330916405,-49,100
53.831177711,-51,98
54.331117630,-59,82
54.831094265,-59,82
55.331095696,-59,82
55.831252575,-57,86
56.330900192,-57,86
56.831181049,-59,82
57.331095696,-60,80
57.831156731,-51,98
58.330874920,-49,100
58.831230640,-63,74
59.331058502,-60,80
59.831036568,-60,80
60.331037998,-63,74
60.831194878,-55,90
61.330865860,-67,66
61.831074238,-55,90
62.331058502,-57,86
62.831036568,-55,90
63.330968857,-60,80
63.831193447,-51,98
64.330874443,-51,98
64.831159115,-47,100
65.331019402,-49,100
65.831042290,-45,100
66.330799580,-57,86
67.330997944,-55,90
67.830974102,-60,80
68.330978394,-60,80
68.831114769,-49,100
69.330833435,-57,86
69.831112385,-47,100
70.330923081,-49,100
70.830931187,-51,98
71.330906391,-55,90
71.831081867,-59,82
72.330770969,-57,86
72.831047058,-62,76
73.830914020,-57,86
74.330758095,-47,100
74.831003666,-47,100
75.330796242,-49,100
75.830931187,-59,82
76.330835342,-62,76
76.831085682,-63,74
77.330771446,-62,76
77.830958843,-53,94
78.330910683,-71,58
78.830872059,-67,66
79.330747128,-61,78
79.831084728,-60,80
80.330697537,-64,72
80.830977917,-51,98
81.330882073,-55,90
81.830857277,-57,86
82.330833435,-61,78
82.831051826,-57,86
83.330708027,-60,80
83.830990314,-59,82
84.330895424,-57,86
84.830915451,-55,90
85.330721855,-62,76
85.830994129,-53,94
86.330867291,-47,100
86.830818653,-57,86
87.330837727,-57,86
87.831001759,-57,86
88.330651760,-62,76
88.830798626,-59,82
89.330859661,-59,82
89.830804348,-63,74
90.330774784,-60,80
90.830958366,-62,76
91.330634594,-57,86
91.830943584,-60,80
92.330802441,-61,78
92.830822468,-53,94
93.330654621,-57,86
93.830936909,-59,82
94.330581188,-51,98
94.830822945,-53,94
95.330779553,-55,90
95.830747127,-55,90
96.330583096,-55,90
96.830913067,-55,90
97.330563545,-41,100
97.830753326,-59,82
98.330583572,-59,82
98.830944538,-55,90
99.330574513,-60,80
99.830884933,-51,98
100.330776692,-53,94
100.830746174,-57,86
101.330750465,-53,94
101.830910683,-49,100
102.330577850,-49,100
102.830840111,-53,94
103.330754280,-51,98
103.830822468,-51,98
104.330578804,-60,80
104.830888748,-59,82
105.330725670,-59,82
105.830676556,-59,82
106.330696583,-47,100
106.830859661,-49,100
107.330504894,-51,98
107.830649853,-62,76
108.330717087,-62,76
108.830664158,-65,70
109.330658436,-63,74
109.830816269,-60,80
110.330496311,-55,90
110.830791950,-55,90
111.330695152,-67,66
111.830656528,-59,82
112.330495834,-53,94
112.830793858,-57,86
113.330566406,-59,82
113.830684662,-53,94
114.330636978,-53,94
114.830830574,-55,90
115.330493450,-62,76
115.830771446,-59,82
116.330587864,-62,76
116.830675125,-55,90
117.330414772,-53,94
117.830709934,-53,94
118.330504894,-51,98
118.830714226,-49,100
119.330578327,-43,100
119.830596447,-45,100
120.330556393,-62,76
120.830667973,-58,84
121.330392361,-62,76
121.830708027,-53,94
122.330499649,-57,86
122.830599785,-49,100
123.330400467,-49,100
123.830623627,-45,100
124.330592156,-47,100
124.830560207,-47,100
125.330456734,-45,100
125.830723286,-41,100
126.330411911,-49,100
