Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
-0.505092621,0.7907491,0.01459661,-0.42316,0.01894392,0.5661795,0.8208668,-8.809704,-27.88915,-83.68553,1006.617
-0.472317219,-1.942565,-0.04449607,-0.3620709,0.01791849,0.5885579,0.8184286,-8.439591,-28.2604,-84.11539,1006.615
-0.437019825,-3.371343,0.6646161,0.004463164,0.0194177,0.5710505,0.8203769,-8.803669,-28.25953,-84.11491,1006.615
-0.404244423,-1.756203,0.3691527,-0.1788039,0.01849121,0.5535563,0.8271445,-8.803669,-28.25953,-84.11491,1006.615
-0.371468544,1.971044,0.07368929,-0.9729611,0.01893466,0.5700758,0.8208609,-8.44708,-27.90191,-84.55623,1006.615
-0.338692665,-0.07894173,0.31006,-0.8507831,0.02035126,0.5861297,0.8165011,-8.816465,-27.52471,-83.69126,1006.62
-0.303396225,-0.6380287,0.6646161,-0.606427,0.01746818,0.5744569,0.8223019,-8.816465,-27.52471,-83.69126,1006.62
-0.270620346,-1.197116,0.01459661,-0.05662585,0.01651492,0.5666463,0.8208718,-8.817192,-27.53065,-84.12637,1006.62
-0.237844944,0.7286283,0.4873381,0.2488192,0.01020266,0.5671008,0.8237743,-8.081549,-27.89089,-83.68647,1006.62
-0.205069065,1.225595,0.8418941,-0.05662585,0.01309207,0.5768522,0.8218272,-8.081549,-27.89089,-83.68647,1006.62
-0.172293186,-3.184981,0.7237088,-0.1788039,0.01937123,0.5915391,0.8251597,-7.718197,-27.89771,-84.12206,1006.618
-0.136996746,-3.93043,1.787377,-0.1788039,0.01311165,0.5690765,0.8242457,-8.081549,-27.89089,-83.68647,1006.616
-0.104221344,-3.247101,1.610099,-0.484249,0.01310084,0.574464,0.8285698,-8.081549,-27.89089,-83.68647,1006.616
-0.071445465,-1.445599,0.01459661,0.2488192,0.009753483,0.5515019,0.8223548,-8.446976,-27.90106,-84.49407,1006.622
-0.038669586,1.971044,-0.3990522,0.3099082,0.001967894,0.5587558,0.8242877,-8.459148,-27.16115,-83.69746,1006.622
-0.003372669,3.213459,-0.2808668,0.4931753,0.01260243,0.5793101,0.8256756,-8.082275,-27.89684,-84.12158,1006.624
0.029402733,-0.3274248,0.4873381,0.7375314,0.01893929,0.5681276,0.8208638,-8.082275,-27.89684,-84.12158,1006.624
0.062178135,-0.4516664,-0.1626814,0.4931753,0.01215514,0.5627304,0.8232948,-8.459148,-27.16115,-83.69746,1006.624
0.094954014,2.405889,-0.3399595,-0.3620709,0.01312441,0.5647302,0.8295473,-8.810431,-27.89509,-84.12064,1006.626
0.127729893,1.846802,0.07368929,-0.667516,0.0106519,0.581185,0.8174943,-8.810431,-27.89509,-84.12064,1006.626
0.163026810,-1.694082,-0.2808668,-0.1177149,0.009224067,0.5705119,0.8252155,-8.809704,-27.88915,-83.68553,1006.627
0.195802689,2.343769,-0.04449607,0.3709973,0.01750512,0.5593758,0.8247313,-8.074787,-28.25533,-83.68074,1006.63
0.228577614,0.7286283,-0.8127009,0.9818874,0.01264902,0.5593286,0.8237802,-8.074787,-28.25533,-83.68074,1006.632
0.261353493,0.542266,-0.6354229,0.1266412,0.01848286,0.5559512,0.8213646,-8.08831,-27.52646,-83.69221,1006.632
0.296650410,0.6043868,-0.2217741,0.1266412,0.01940582,0.5764212,0.8222944,-8.452388,-27.52558,-83.69173,1006.632
0.329426289,-1.259236,0.07368929,-0.545338,0.01358483,0.5714118,0.8093188,-8.452388,-27.52558,-83.69173,1006.632
