Time (s),W,X,Y,Z
0.014477253,0.05160124,-0.6833742,-0.7242404,-0.04940098
0.047037601,0.05164748,-0.6833214,-0.7242838,-0.04944933
0.079597950,0.05176598,-0.6832139,-0.7243719,-0.04951884
0.114658833,0.05191248,-0.682977,-0.7245858,-0.04950393
0.147219181,0.05196914,-0.6827361,-0.7248033,-0.04958371
0.179779053,0.05188755,-0.6826704,-0.7248697,-0.04960293
0.212339401,0.05175027,-0.6828198,-0.7247407,-0.04957422
0.247404575,0.05158997,-0.682764,-0.7248017,-0.04961809
0.279964447,0.05154576,-0.6827078,-0.7248518,-0.04970536
0.312520981,0.05153038,-0.6826299,-0.7249242,-0.0497371
0.347585201,0.05159319,-0.6827735,-0.724789,-0.04967038
0.380145550,0.05169926,-0.6828622,-0.7247018,-0.04961383
0.412706375,0.05179495,-0.682952,-0.7246107,-0.049608
0.447770596,0.05181517,-0.6827537,-0.7247984,-0.0495734
0.480331421,0.05175468,-0.682701,-0.7248567,-0.04951017
0.512887001,0.05165774,-0.6828128,-0.7247572,-0.04952575
0.547952175,0.05159381,-0.682693,-0.7248708,-0.04958153
0.580512524,0.05162224,-0.6827633,-0.7247968,-0.04966668
0.613072395,0.05171988,-0.6829219,-0.724638,-0.04969968
0.645632744,0.05184674,-0.6829727,-0.7245835,-0.04966504
0.680697441,0.05191939,-0.6830493,-0.724505,-0.04968267
0.713253975,0.05186202,-0.6830989,-0.7244645,-0.04965026
0.745814323,0.05172232,-0.6829375,-0.7246339,-0.04954448
0.780910015,0.05156134,-0.6826198,-0.7249436,-0.04955787
0.813470840,0.05151323,-0.6823276,-0.7252178,-0.04962161
0.846030235,0.0515505,-0.6824924,-0.7250556,-0.04968683
0.881095409,0.05162302,-0.6823991,-0.7251386,-0.04968104
0.913651943,0.05166076,-0.6821368,-0.7253765,-0.04976978
0.946211815,0.05160579,-0.6820149,-0.7254721,-0.05010384
0.981276989,0.05145803,-0.6820571,-0.7254252,-0.05035765
1.013836861,0.05136656,-0.6821757,-0.7253252,-0.05028626
1.046397209,0.05132331,-0.6824914,-0.7250488,-0.05003344
1.078957081,0.05146779,-0.6825842,-0.7249703,-0.0497564
