Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.047037601,46.664,33.13
1.046397209,46.65,33.124
2.045855999,46.586,33.118
3.047687531,46.562,33.112
4.047013283,46.534,33.106
5.046338081,46.464,33.1
6.045662403,46.49,33.094
7.047490120,46.476,33.088
8.046813011,46.432,33.082
9.046375275,46.41,33.078
10.048201561,46.386,33.072
11.047521591,46.388,33.068
12.046841145,46.258,33.062
13.046160221,46.304,33.058
14.048034668,46.28,33.052
15.047352314,46.26,33.048
16.046669006,46.184,33.044
17.045985222,46.218,33.038
18.047805309,46.14,33.034
19.047214985,46.126,33.03
20.046529293,46.11,33.026
21.045843601,46.148,33.022
22.047661304,46.128,33.018
23.046974182,46.07,33.014
24.046286106,46.04,33.01
25.045598030,46.012,33.004
26.047497273,45.984,33
27.046952248,45.974,32.998
28.046261787,45.95,32.994
29.048076153,45.946,32.99
30.047384739,45.94,32.986
31.046693325,45.89,32.984
32.046169758,45.906,32.98
33.047981262,45.896,32.976
34.047287941,45.874,32.972
35.046594620,45.86,32.968
36.045899868,45.828,32.964
37.047709465,45.8,32.962
38.047013760,45.79,32.958
39.046318054,45.802,32.956
40.045622349,45.718,32.952
41.047430038,45.766,32.95
42.046732903,45.702,32.946
43.046035290,45.686,32.944
44.047842026,45.75,32.94
45.047147751,45.694,32.938
46.046448708,45.656,32.934
47.045749187,45.664,32.932
48.047553539,45.666,32.928
49.046853066,45.616,32.924
50.046369076,45.596,32.92
51.045667171,45.524,32.914
52.047468662,45.522,32.91
53.046765804,45.544,32.904
54.046061993,45.476,32.9
55.045357227,45.49,32.896
56.047307491,45.468,32.892
57.046602726,45.404,32.888
58.045896053,45.404,32.884
59.047694206,45.422,32.88
60.046987534,45.392,32.878
61.046279430,45.354,32.874
62.045571804,45.374,32.87
63.047368050,45.358,32.868
64.046659470,45.324,32.866
65.045950413,45.26,32.862
66.045240879,45.302,32.86
67.047100544,45.324,32.858
68.046440601,45.246,32.856
69.045729637,45.268,32.852
71.046811581,45.21,32.846
72.046099186,45.178,32.844
73.045462132,45.178,32.842
74.047253609,45.176,32.84
75.046687126,45.186,32.836
76.045973778,45.104,32.834
77.047764301,45.076,32.83
78.047049999,45.078,32.828
79.046335220,45.13,32.826
80.045619488,45.088,32.824
81.047408581,45.066,32.82
82.046692848,45.05,32.818
83.045976639,45.008,32.816
84.045259476,45.04,32.812
85.047046185,44.986,32.81
86.046328545,44.972,32.806
87.045609951,45.012,32.802
88.047394753,44.99,32.8
89.046733856,44.94,32.796
90.046043396,44.92,32.794
91.045329094,44.914,32.79
92.047112465,44.856,32.786
93.046391010,44.898,32.784
94.045669079,44.862,32.78
95.044946671,44.834,32.778
96.046728134,44.826,32.774
97.046005249,44.848,32.772
98.045282364,44.744,32.768
99.047062397,44.78,32.768
100.046338558,44.776,32.766
101.045614243,44.762,32.764
102.044888973,44.758,32.762
103.046668530,44.732,32.76
104.045942783,44.722,32.758
105.045217037,44.69,32.756
106.046996117,44.694,32.752
107.046269894,44.736,32.752
108.045543194,44.67,32.75
109.044816017,44.654,32.75
110.046593666,44.636,32.748
111.045866013,44.622,32.744
112.045138359,44.67,32.742
113.046914577,44.65,32.74
114.046185970,44.594,32.736
115.045456886,44.588,32.734
116.044727325,44.544,32.732
117.046501637,44.574,32.73
118.045771122,44.516,32.726
119.045040131,44.582,32.72
120.044308186,44.498,32.718
121.046081066,44.54,32.714
122.045348167,44.51,32.71
123.044615269,44.44,32.708
124.046393871,44.45,32.706
125.045680046,44.456,32.702
126.044965744,44.4,32.7
127.044251442,44.364,32.696
128.046040535,44.38,32.694
129.045324802,44.374,32.692
130.044608593,44.366,32.688
131.046396256,44.308,32.684
132.045679092,44.316,32.682
133.044961452,44.346,32.678
134.044243813,44.288,32.676
135.046030045,44.262,32.672
136.045310974,44.2,32.668
137.044591427,44.182,32.666
138.046375275,44.182,32.662
139.045655251,44.182,32.66
140.044934750,44.178,32.656
141.044212818,44.128,32.652
142.045995712,44.12,32.65
143.045274258,44.154,32.646
144.044551849,44.172,32.642
145.046333313,44.094,32.638
146.045609951,44.086,32.636
147.044886589,44.062,32.632
148.044161797,44.034,32.628
149.045942307,44.044,32.626
150.045217037,44.05,32.622
151.044492245,44.036,32.62
152.046270847,43.972,32.618
153.045545101,44.006,32.616
154.044818878,43.984,32.614
155.044091702,43.91,32.612
156.045869350,43.954,32.612
157.045141697,43.924,32.608
158.044414043,43.902,32.606
159.046190262,43.912,32.604
160.045461655,43.902,32.6
161.044732571,43.864,32.6
162.044003487,43.886,32.596
163.045777798,43.888,32.592
164.045047283,43.846,32.59
165.044316292,43.862,32.586
166.046089172,43.844,32.582
167.045357227,43.824,32.578
168.044624805,43.78,32.576
169.043892384,43.776,32.574
170.045664310,43.76,32.57
171.044930458,43.738,32.566
172.044196606,43.78,32.562
173.045967102,43.752,32.56
174.045233250,43.688,32.558
175.044497967,43.708,32.556
176.046267509,43.692,32.554
177.045532703,43.716,32.552
178.044796944,43.656,32.55
179.044061184,43.676,32.55
180.045829773,43.682,32.548
181.045093536,43.624,32.546
182.044357300,43.644,32.546
183.046125412,43.656,32.544
184.045389175,43.668,32.544
185.044651985,43.62,32.544
186.043914795,43.668,32.542
187.045682430,43.604,32.54
188.044944763,43.578,32.538
189.044207096,43.594,32.538
190.045973778,43.566,32.536
191.045235157,43.532,32.532
192.044496536,43.544,32.53
193.043757439,43.532,32.526
194.045522213,43.522,32.526
195.044782162,43.526,32.524
196.044042587,43.502,32.522
197.045806408,43.508,32.518
198.045065880,43.458,32.516
199.044324875,43.494,32.514
200.046088219,43.48,32.51
201.045346737,43.464,32.51
202.044605255,43.456,32.508
203.043863297,43.454,32.506
204.045626163,43.418,32.504
205.044883728,43.428,32.504
206.044141293,43.418,32.502
207.045902729,43.404,32.5
208.045159817,43.424,32.5
209.044416428,43.398,32.498
210.043673515,43.398,32.498
211.045434952,43.392,32.496
212.044692040,43.414,32.496
213.043948174,43.444,32.496
214.045709133,43.404,32.494
215.044966221,43.372,32.494
216.044222355,43.332,32.494
217.045982361,43.396,32.492
218.045238972,43.404,32.492
219.044495106,43.352,32.492
220.043750763,43.382,32.492
221.045510769,43.352,32.492
222.044766903,43.358,32.492
223.044022560,43.384,32.492
224.045782089,43.356,32.49
225.045037746,43.308,32.488
226.044292927,43.36,32.488
227.046051502,43.328,32.486
228.045306206,43.326,32.484
229.044560432,43.32,32.482
230.043813705,43.31,32.48
231.045571327,43.29,32.478
232.044825077,43.266,32.474
233.044077396,43.252,32.472
234.045834064,43.25,32.47
235.045085907,43.212,32.466
236.044337749,43.26,32.464
237.043589115,43.188,32.462
238.045344353,43.21,32.46
239.044595242,43.172,32.46
240.043846130,43.224,32.458
241.045601368,43.186,32.456
242.044851303,43.146,32.454
243.044101715,43.176,32.452
244.045856476,43.192,32.452
245.045106411,43.16,32.45
246.044355869,43.106,32.45
247.043605328,43.146,32.448
248.045359612,43.156,32.448
249.044608593,43.158,32.446
250.043858051,43.11,32.446
251.045611858,43.066,32.446
252.044860840,43.17,32.446
253.044109344,43.152,32.444
254.045863152,43.168,32.444
