Time (s),W,X,Y,Z
0.018940449,0.8276036,0.1108814,0.1537661,-0.5251297
0.053588867,0.8275077,0.1110415,0.153909,-0.5252052
0.085762978,0.8275324,0.1110718,0.1539818,-0.5251386
0.120407581,0.8276375,0.1109083,0.1537618,-0.5250719
0.152580738,0.8276807,0.1109012,0.1538275,-0.524986
0.187229157,0.8275145,0.1114218,0.1541583,-0.5250407
0.219403267,0.8273699,0.1117133,0.1543497,-0.5251505
0.251576901,0.8274617,0.1114194,0.1541792,-0.5251184
0.286225319,0.8275049,0.1114329,0.1541725,-0.5250496
0.318395615,0.8275254,0.1114739,0.1541741,-0.5250081
0.353044033,0.827527,0.111546,0.1542184,-0.5249772
0.385217190,0.8275537,0.111559,0.1541963,-0.5249388
0.419865608,0.8275607,0.1115927,0.1542355,-0.524909
0.452039719,0.8274484,0.1117519,0.1543853,-0.5250081
0.486688137,0.8274019,0.1118755,0.1544242,-0.5250437
0.518857956,0.8274279,0.1119097,0.1543973,-0.5250034
0.553506374,0.827584,0.1118323,0.1543221,-0.5247958
0.585679531,0.8275758,0.111788,0.1543565,-0.5248082
0.620328903,0.8274891,0.1118987,0.1544936,-0.5248808
0.652502060,0.8274511,0.1117813,0.1543415,-0.5250106
0.687150955,0.8275173,0.1115919,0.1542994,-0.5249587
0.719320774,0.8274038,0.1119969,0.1545629,-0.5249738
0.753969192,0.8273145,0.1122651,0.1546841,-0.5250219
0.786142826,0.8274307,0.1119038,0.1544024,-0.5249987
0.818316460,0.827415,0.1119781,0.1543591,-0.5250203
0.852964878,0.8270596,0.113436,0.1550517,-0.5250632
0.885138512,0.8270108,0.121786,0.1608366,-0.5215176
0.919783115,0.825381,0.1461504,0.1819652,-0.5107863
0.951957226,0.8221385,0.1726602,0.2140099,-0.4950799
0.986605644,0.8190446,0.1975632,0.2530952,-0.4719163
1.018778801,0.8088345,0.2402273,0.3108779,-0.4336588
1.053427219,0.8022494,0.2624327,0.3718541,-0.3819386
1.085601330,0.8023568,0.2605399,0.4211781,-0.3279923
1.120245934,0.79711,0.2627107,0.4766361,-0.2550378
1.152419567,0.7892682,0.2598165,0.5225523,-0.1819828
1.187067986,0.7824632,0.2405353,0.5608387,-0.1094611
1.219241619,0.7767063,0.2154256,0.587272,-0.04536871
1.253890038,0.768398,0.1909284,0.6078273,0.01686339
1.286063671,0.7586594,0.171042,0.6227438,0.06323168
1.318233967,0.748505,0.1596141,0.6310061,0.1127948
1.352882385,0.7358195,0.160798,0.6331553,0.1686879
1.385055542,0.7237628,0.1662956,0.6323225,0.212859
1.419703961,0.714383,0.1650909,0.6319194,0.2443513
1.451878071,0.708633,0.1570978,0.6343105,0.2596873
1.486526489,0.7033257,0.1482461,0.6397935,0.265797
1.518696308,0.7009188,0.1406103,0.6436338,0.2670301
1.553344727,0.6986603,0.1318011,0.6491325,0.264115
1.585517883,0.6952245,0.1213774,0.6583367,0.255247
1.620166779,0.6911615,0.1157641,0.6651529,0.251185
1.652340412,0.6880691,0.118501,0.666424,0.2550003
1.686988830,0.6867924,0.1182941,0.6664453,0.2584589
1.719159126,0.6877684,0.1156092,0.6649087,0.2610236
1.753807545,0.6897243,0.1098876,0.6646768,0.2589164
1.785980701,0.6913725,0.101009,0.6670855,0.2518446
1.820629120,0.69221,0.09184446,0.6699988,0.2452328
1.852803230,0.6917521,0.08469754,0.6735088,0.2394132
1.884976864,0.6913449,0.07446349,0.6803063,0.224295
1.919621468,0.6923766,0.05223231,0.6922572,0.1878673
1.951794624,0.6928569,0.02607863,0.7039394,0.1427097
1.986443520,0.699298,0.003172576,0.7062852,0.0936011
2.018617153,0.7077649,-0.008058863,0.7021477,0.05118834
2.085439682,0.7302959,0.0005114932,0.6796758,-0.03655339
2.120084286,0.7441806,0.02456155,0.6605515,-0.07675473
2.152257443,0.7570624,0.04855322,0.6376348,-0.1206174
2.186905861,0.7655332,0.0838237,0.6145441,-0.1609216
2.219079971,0.7713797,0.1119653,0.5884047,-0.2069894
2.253728390,0.7798154,0.1200331,0.5435451,-0.280475
2.285902023,0.7804006,0.127627,0.5029339,-0.3440513
2.320546627,0.7757284,0.1345391,0.4642876,-0.4015088
2.352719784,0.7746765,0.1278362,0.4143714,-0.4565722
2.384893894,0.7690131,0.1280179,0.3689901,-0.502697
2.419542313,0.7603249,0.1379415,0.3319481,-0.5378814
2.451715469,0.7495861,0.1570185,0.3119144,-0.5592878
2.486363888,0.7394772,0.1722777,0.299852,-0.5746393
2.518534184,0.7351952,0.1742209,0.2902071,-0.5844164
2.553182602,0.7321371,0.1787636,0.2911923,-0.5863903
2.585356236,0.7315763,0.1837665,0.2983391,-0.5819343
2.620005131,0.7324637,0.1878305,0.3058808,-0.5755704
2.652178287,0.7338709,0.1910037,0.3116865,-0.569588
2.686826706,0.7354237,0.1937529,0.3163313,-0.5640693
2.718996525,0.7378961,0.192952,0.3158711,-0.5613661
2.753644943,0.7411914,0.1905929,0.3114894,-0.5602784
2.785819054,0.743291,0.1911247,0.3069477,-0.5598219
2.820467472,0.7427551,0.1965553,0.303962,-0.560282
2.852640629,0.7421528,0.1988391,0.2977361,-0.5636073
2.884814739,0.7436045,0.1942807,0.2859314,-0.5693665
2.919459343,0.7447577,0.1900681,0.2760226,-0.574151
2.951632977,0.745833,0.1873993,0.2708557,-0.5760899
2.986281395,0.746614,0.1868774,0.2705248,-0.5754028
3.018455029,0.7486373,0.1845991,0.2697629,-0.5738649
3.053103447,0.7501142,0.1843576,0.2699297,-0.5719323
3.085277081,0.7515522,0.182749,0.2678305,-0.5715476
3.119921684,0.7532254,0.1802635,0.2645656,-0.5716549
3.152094841,0.7543156,0.1788472,0.2625007,-0.5716143
3.186743736,0.7546861,0.178988,0.2624072,-0.5711237
3.218917370,0.7551469,0.1787722,0.2619543,-0.5707902
3.253565788,0.7556762,0.1789609,0.2613209,-0.5703204
3.285739899,0.756358,0.1788563,0.2602128,-0.5699562
3.320384502,0.7570542,0.1789323,0.2590298,-0.5695468
3.352557659,0.7578878,0.1777926,0.2570866,-0.5696754
3.387206078,0.7594026,0.1755197,0.2545917,-0.5694834
3.419380188,0.7605352,0.1743481,0.2532481,-0.5689306
3.451553345,0.761139,0.1742014,0.2527472,-0.5683907
3.486201763,0.7616276,0.1740752,0.252326,-0.5679619
3.518371582,0.7621016,0.1738998,0.2520653,-0.5674951
3.553020001,0.7622625,0.1744825,0.2525399,-0.566889
3.585194111,0.7623439,0.174999,0.2527848,-0.566511
3.619842529,0.7625816,0.175118,0.2527345,-0.5661766
3.652015686,0.7629868,0.1749571,0.2524524,-0.5658063
3.686664581,0.7631819,0.1752119,0.2524234,-0.5654769
3.718834400,0.7634083,0.1753039,0.2523054,-0.5651957
3.753482819,0.7637305,0.1752772,0.2520249,-0.5648937
3.785655975,0.7641136,0.1751685,0.2518534,-0.5644854
3.820304394,0.764191,0.1758679,0.2521713,-0.5640212
3.852478504,0.7642539,0.1764985,0.2523552,-0.5636568
3.887126923,0.7645438,0.1767836,0.2522406,-0.5632254
3.919296741,0.7648717,0.1771306,0.2521978,-0.5626899
3.953944683,0.7654123,0.1767636,0.2518813,-0.5622119
3.986118793,0.7657737,0.1767052,0.2518672,-0.5617443
4.018292427,0.766103,0.1766057,0.2517321,-0.5613869
4.052940846,0.7662313,0.1770666,0.2518342,-0.5610208
4.085114479,0.766131,0.1779194,0.2522602,-0.5606965
4.151932716,0.7658758,0.1794889,0.2527151,-0.56034
4.186581135,0.7658115,0.1801048,0.2527528,-0.560213
4.218754292,0.7658418,0.1803897,0.2526565,-0.5601234
4.253403187,0.7657794,0.1810929,0.2527191,-0.5599537
4.285576820,0.7659308,0.181507,0.2526928,-0.5596241
4.320221424,0.7660442,0.1820917,0.2526588,-0.5592943
4.352395058,0.7658318,0.1831795,0.2529476,-0.5590994
4.387043953,0.765572,0.1841636,0.2531989,-0.5590182
4.419217110,0.7655925,0.1849914,0.2532884,-0.5586761
4.453865528,0.7657347,0.1856576,0.253166,-0.5583158
4.486039639,0.7658407,0.1860272,0.2529429,-0.5581484
4.518208504,0.7660784,0.1862046,0.2526604,-0.5578911
4.585031033,0.7664256,0.1869512,0.2524487,-0.5572597
4.619679451,0.7665091,0.1874845,0.2524202,-0.5569784
4.651853084,0.7665372,0.1879037,0.2523521,-0.5568296
4.686501503,0.7666792,0.1881518,0.2522413,-0.5566002
4.718671322,0.7668226,0.1884402,0.2521539,-0.5563446
4.753319740,0.7669628,0.1887371,0.2520482,-0.5560989
4.785493851,0.7671543,0.1887122,0.2517386,-0.5559833
4.820142269,0.7675844,0.1885918,0.2514527,-0.5555597
4.852315426,0.7678286,0.1888206,0.251385,-0.5551751
4.886963844,0.7679086,0.1891829,0.2514123,-0.5549288
4.919133663,0.76824,0.1891171,0.2512198,-0.5545793
4.953782558,0.7686496,0.1888495,0.251064,-0.5541733
4.985955715,0.7689813,0.1884976,0.2507321,-0.5539832
5.018129349,0.7691641,0.1913507,0.2521227,-0.5521172
5.052778244,0.7685211,0.1982644,0.2566732,-0.5484643
5.084951401,0.7661029,0.2115225,0.2727281,-0.5390654
5.119596005,0.7621995,0.2394998,0.3095853,-0.5123244
5.151769638,0.7499729,0.2864193,0.3741464,-0.4605936
5.218591213,0.7445132,0.3046243,0.4800015,-0.3451529
5.253240109,0.7465312,0.2884986,0.5271534,-0.2796367
5.285413742,0.7469286,0.2698463,0.5664244,-0.212301
5.320058346,0.745209,0.2454317,0.6014472,-0.1389807
5.352231503,0.7417909,0.2209682,0.6258412,-0.07661486
5.386879921,0.7357227,0.1964864,0.6453161,-0.01731934
5.419054031,0.7294585,0.1738043,0.6585145,0.02585844
5.453702450,0.7195658,0.1555994,0.6704757,0.07144127
5.485876560,0.7074231,0.1505999,0.678731,0.1132444
5.520520210,0.6934255,0.1521797,0.6859075,0.1488655
5.552694321,0.6816573,0.1497355,0.6934674,0.1692728
5.584867954,0.6708966,0.1491851,0.6992495,0.1879346
5.619516850,0.6624189,0.1491989,0.7037165,0.2008772
5.651690006,0.6585318,0.1444491,0.7071167,0.2051444
5.686338425,0.6589381,0.1398714,0.7058314,0.211344
5.718508243,0.6633424,0.1420739,0.6975046,0.2233986
5.753156662,0.6767524,0.1485135,0.6766191,0.2424131
5.785329819,0.7026561,0.1518223,0.6428199,0.2581365
5.819978714,0.7524973,0.1502642,0.5757846,0.2761667
5.852152348,0.8080599,0.136799,0.4951976,0.2823688
5.886800766,0.8164645,0.2385162,0.3550153,0.3835195
5.918970108,0.8159434,0.1059902,0.47668,0.3039804
5.953618526,0.8400007,0.09827636,0.4311939,0.3089326
5.985792637,0.8279096,0.03397319,0.4801115,0.2820145
6.020441055,0.8234867,0.07665504,0.4709555,0.3013674
6.052614212,0.8268147,0.0939797,0.4683579,0.2912284
6.084788322,0.8268618,0.07828608,0.4868185,0.2642086
6.119432926,0.8212335,0.07049858,0.5065169,0.2463206
6.151606083,0.8179516,0.08074421,0.5190924,0.2271702
6.186254501,0.8145204,0.07506572,0.5412722,0.18594
6.218428612,0.8049783,0.07407327,0.5675761,0.1449412
6.253077030,0.7979965,0.07899909,0.5877789,0.09002409
6.285250187,0.7937722,0.0868905,0.597997,0.0374544
6.319894791,0.7876635,0.1120098,0.602932,-0.01185361
6.352068424,0.7835698,0.1244392,0.6018366,-0.07038167
6.386717320,0.780486,0.1403537,0.5916695,-0.1330305
6.418890476,0.7737116,0.1644122,0.5797101,-0.1868233
6.453538895,0.7658918,0.1890016,0.5621061,-0.2415628
6.485713005,0.7636614,0.200606,0.5327324,-0.2990018
6.520357132,0.7611402,0.2144638,0.4968497,-0.3527589
6.552530766,0.7595436,0.2268778,0.4607457,-0.3949191
6.587179184,0.7593485,0.2303135,0.4185092,-0.4379764
6.619352818,0.7632874,0.2232461,0.37619,-0.4718709
6.686174869,0.7765695,0.2101106,0.2898906,-0.5151549
6.718344688,0.7767661,0.1992505,0.242757,-0.5427986
6.752993107,0.7760664,0.1641003,0.1835817,-0.5776828
6.785166264,0.7779473,0.1621035,0.1826389,-0.5760133
6.819814682,0.7839693,0.1524547,0.1832056,-0.5702747
6.851988792,0.7942903,0.1270554,0.1749392,-0.5647866
6.886637211,0.8016541,0.1191809,0.1801096,-0.5543779
6.918806553,0.8043432,0.1250877,0.1882196,-0.5464305
6.953454971,0.8045501,0.12994,0.1920283,-0.5436614
6.985629082,0.803791,0.1326886,0.1919548,-0.5441459
7.020277500,0.8015497,0.1397317,0.194611,-0.5447453
7.052450657,0.7977063,0.1520225,0.2022623,-0.5443083
7.087099075,0.7949327,0.1595833,0.207306,-0.5443043
7.119269371,0.7935978,0.1634047,0.210036,-0.5440718
7.151442528,0.7924675,0.1666615,0.2124013,-0.5438131
7.186090946,0.7917716,0.1689539,0.2138232,-0.5435621
7.218264580,0.7916483,0.16976,0.2140701,-0.5433931
7.252913475,0.7920161,0.1696775,0.2135972,-0.543069
7.285086632,0.792491,0.1693259,0.2131074,-0.5426783
7.319731236,0.7933328,0.1681118,0.2119402,-0.5422829
7.351904869,0.7943047,0.1665953,0.2108926,-0.541736
7.386553288,0.7947203,0.1664309,0.2110533,-0.5411143
7.418726921,0.7945628,0.1675524,0.2120212,-0.5406207
7.453375340,0.7946555,0.1679414,0.2123653,-0.5402287
7.485548973,0.7948567,0.1676983,0.2120687,-0.5401245
7.520193577,0.7953732,0.1668107,0.211215,-0.5399739
7.552366734,0.7959238,0.1660582,0.2105804,-0.539642
7.587015629,0.7966886,0.165077,0.2098727,-0.5390902
7.619189263,0.7970573,0.1650693,0.2101294,-0.5384469
7.651362419,0.797088,0.1658422,0.2108635,-0.5378766
7.686010837,0.797486,0.1653704,0.2104579,-0.537591
7.718181133,0.7980728,0.1648911,0.2097859,-0.5371296
7.752828598,0.7982601,0.1652611,0.2096807,-0.5367785
7.785002708,0.7980158,0.1660522,0.210138,-0.5367188
7.819651127,0.7979197,0.1665756,0.2103059,-0.5366339
7.851825237,0.7984032,0.1654859,0.2093681,-0.5366186
7.886473179,0.799118,0.1638922,0.2082544,-0.5364771
