Time (s),Power (dBm),Percentage (%)
0.001578808,-60,80
0.501625538,-60,80
1.001612663,-60,80
1.501612663,-61,78
2.001646996,-60,80
2.501449585,-61,78
3.001750469,-61,78
3.501468181,-61,78
4.001636982,-61,78
4.501639843,-60,80
5.001615047,-60,80
5.501591205,-61,78
6.001720428,-60,80
6.501479626,-60,80
7.001727581,-60,80
7.501437664,-57,86
8.001696587,-55,90
8.501612186,-57,86
9.001636028,-53,94
9.501571178,-60,80
10.001755714,-59,82
10.501437187,-62,76
11.001744747,-51,98
11.501393318,-53,94
12.001696587,-55,90
12.501556396,-53,94
13.001545429,-59,82
13.501367092,-53,94
14.001721382,-49,100
14.501399517,-53,94
15.001633167,-57,86
15.501393318,-57,86
16.001718044,-53,94
16.501469612,-51,98
17.001600742,-59,82
17.501461506,-57,86
18.001596928,-63,74
18.501380443,-57,86
19.001671314,-61,78
19.501449108,-53,94
20.001517773,-57,86
20.501517296,-57,86
21.001504898,-53,94
21.501514435,-53,94
22.001657486,-62,76
22.501362800,-57,86
23.001650333,-53,94
23.501514435,-53,94
24.001499653,-53,94
24.501533031,-47,100
25.001575947,-53,94
25.501334190,-47,100
26.001670837,-49,100
26.501360416,-59,82
27.001585484,-41,100
27.501482963,-41,100
28.001494884,-45,100
28.501322746,-43,100
29.001588345,-45,100
29.501369476,-45,100
30.001487732,-55,90
30.501314640,-53,94
31.001574993,-51,98
31.501286030,-51,98
32.001470089,-59,82
32.501458168,-57,86
33.001463890,-49,100
33.501296520,-49,100
34.001598358,-45,100
34.501352310,-51,98
35.001583099,-47,100
35.501445770,-47,100
36.001478195,-49,100
36.501325130,-60,80
37.001598358,-60,80
37.501268864,-53,94
38.001576424,-59,82
38.501379013,-53,94
39.001631737,-60,80
39.501460075,-59,82
40.001472950,-55,90
40.501356125,-59,82
41.001601696,-55,90
41.501242161,-55,90
42.001556873,-59,82
42.501420975,-57,86
43.001430035,-67,66
43.501440048,-49,100
44.001393795,-59,82
44.501245499,-65,70
45.001577377,-57,86
45.501248360,-67,66
46.001482487,-55,90
46.501424789,-57,86
47.001380920,-57,86
47.501385689,-57,86
48.001512051,-57,86
48.501231670,-57,86
49.001524448,-60,80
49.501202583,-57,86
50.001520157,-57,86
50.501370907,-57,86
51.001376152,-53,94
51.501364708,-53,94
52.001577854,-53,94
52.501196861,-53,94
53.001502991,-59,82
53.501240253,-59,82
54.001477718,-59,82
54.501404285,-65,70
55.001395702,-62,76
55.501279354,-62,76
56.001540184,-62,76
56.501188278,-60,80
57.001482487,-62,76
58.001346111,-55,90
58.501365662,-49,100
59.001318455,-49,100
59.501309395,-59,82
60.001504421,-55,90
60.501148701,-55,90
61.001289368,-57,86
61.501323223,-57,86
62.001349449,-51,98
62.501248836,-55,90
63.001357079,-57,86
63.501168728,-55,90
64.001376152,-51,98
64.501138210,-53,94
65.001392365,-53,94
65.501247883,-57,86
66.001357079,-53,94
66.501291275,-62,76
67.001364708,-58,84
67.501158714,-59,82
68.001429558,-53,94
68.501156807,-49,100
69.001418114,-65,70
69.501276493,-57,86
70.001295090,-53,94
70.501110077,-57,86
71.001434326,-65,70
71.501092434,-57,86
72.001409531,-59,82
72.501211643,-57,86
73.001460552,-59,82
73.501292705,-53,94
74.001243591,-59,82
74.501235962,-55,90
75.001394749,-55,90
75.501094341,-51,98
76.001215935,-49,100
76.501250744,-49,100
77.001234055,-51,98
77.501065254,-51,98
78.001314640,-53,94
78.501081943,-47,100
79.001195431,-51,98
79.501060486,-51,98
80.001309395,-55,90
80.501029014,-49,100
81.001286507,-59,82
81.501218796,-55,90
82.001211643,-51,98
82.501118660,-53,94
83.001357555,-49,100
83.501097679,-59,82
84.001363754,-53,94
84.501204491,-71,58
85.001245022,-62,76
85.501094818,-60,80
86.001398563,-53,94
86.501048565,-62,76
87.001336098,-55,90
87.501176357,-55,90
88.001211643,-63,74
88.501183510,-53,94
89.001183033,-53,94
89.501155853,-51,98
90.001320362,-60,80
90.500992298,-62,76
91.001175404,-51,98
91.501168728,-62,76
92.001178265,-73,54
92.501199722,-73,54
93.001308918,-75,50
93.501052379,-62,76
94.001301289,-62,76
94.500975609,-62,76
95.001282215,-53,94
95.501183987,-53,94
96.001169205,-51,98
96.500954151,-53,94
97.001311302,-51,98
97.500994682,-57,86
98.001283646,-59,82
98.501029968,-55,90
99.001298428,-51,98
99.501131058,-51,98
100.001142979,-60,80
100.501125336,-59,82
101.001263618,-47,100
101.500980377,-53,94
102.001261711,-59,82
102.501149654,-57,86
103.001128197,-55,90
103.501109123,-57,86
104.001176834,-57,86
104.500947475,-61,78
105.001247883,-60,80
105.500956058,-60,80
106.001210213,-57,86
106.501131058,-59,82
107.001111507,-51,98
107.501126289,-53,94
108.001266956,-58,84
108.500929356,-59,82
109.001227379,-59,82
109.500913143,-57,86
110.001212597,-62,76
110.501110077,-53,94
111.001134396,-53,94
111.501060963,-45,100
112.001259327,-53,94
112.500892162,-51,98
113.001119137,-49,100
113.501080036,-49,100
114.001112938,-53,94
114.500955582,-55,90
115.001128197,-57,86
115.501082897,-60,80
116.001118183,-49,100
116.500922680,-49,100
117.001104832,-53,94
117.500919819,-61,78
118.001105785,-61,78
118.501036167,-47,100
119.001069069,-53,94
119.500907898,-59,82
120.001174927,-55,90
120.500918865,-62,76
121.001128674,-57,86
121.501020908,-49,100
122.001074791,-57,86
122.500943184,-59,82
123.001212120,-63,74
123.500874042,-59,82
124.001153946,-67,66
124.501028538,-57,86
125.001031399,-53,94
125.501001835,-55,90
126.001048565,-55,90
126.501013279,-63,74
127.001174927,-69,62
127.500870705,-60,80
128.001084805,-51,98
128.501022816,-49,100
129.001033783,-55,90
129.501016617,-53,94
130.001155376,-59,82
130.500824451,-53,94
131.001154423,-55,90
131.500843048,-57,86
132.001114845,-57,86
132.501001835,-59,82
133.000979424,-59,82
133.500904560,-57,86
134.001159191,-57,86
134.500825405,-55,90
135.001101494,-55,90
135.500956058,-62,76
136.000984669,-47,100
136.500948429,-64,72
137.000951290,-65,70
137.500935554,-55,90
138.001086712,-55,90
138.500801563,-58,84
