Time (s),Humidity (%)
0.883839130,15.07227
1.885615349,14.5918
2.884887218,15.19531
3.884158611,14.68945
4.885934353,15.7002
5.885205746,14.98535
6.884477615,16.43848
7.883748531,15.19531
8.885524750,15.13281
9.884795666,14.32031
10.884066582,14.72656
11.885841846,13.54395
12.885113716,14.59082
13.884384632,14.87402
14.883655548,14.36914
15.885431290,15.60059
16.884702206,14.62793
17.883973122,15.28027
18.885748386,14.29492
19.885019302,14.95996
20.884291172,15.00977
21.883562088,14.95996
22.885336876,14.60352
23.884608269,14.2334
24.883879185,14.34473
25.885654926,14.06152
26.884925842,13.62988
27.884196758,14.20898
28.885972500,13.61719
29.885243893,13.74121
30.884514809,13.92578
31.883785725,13.35938
32.885561466,14.16016
33.884832382,14.08594
34.884103298,13.61719
35.885878563,14.5166
36.885149479,14.12305
37.884420395,14.02441
38.883691311,13.9502
39.885467052,14.25781
40.884737968,14.62793
41.884008884,14.38086
42.885783672,13.9502
43.885054588,14.27051
44.884325504,14.88672
45.883596420,14.93555
46.885372162,14.71387
47.884643078,14.18457
48.883913994,14.75098
49.885688782,14.89844
50.884959698,14.38086
51.884230614,14.78711
52.883501053,13.9502
53.885275364,14.01074
54.884545326,14.08496
55.883815289,14.93457
56.885589123,13.91211
57.884858131,15.08203
58.884127140,14.04688
59.883396149,15.14258
60.885169029,14.66211
61.884437084,14.24316
62.883705616,14.39063
63.885477543,14.77246
64.884745121,15.38672
65.884012222,14.85742
66.885783672,15.62109
67.885051250,14.59863
68.884318352,14.70898
69.883584499,14.64746
70.885355949,14.74609
71.884623051,14.75781
72.883889198,14.80762
73.885661125,14.05566
74.884927273,14.14258
75.884193897,13.89551
76.883460999,14.83203
77.885231972,14.79492
78.884498119,14.69629
79.883765221,14.96777
80.885536194,15.76758
81.884802818,14.69629
82.884069920,15.36133
83.883336544,15.04199
84.885108471,15.95313
85.884375095,15.375
86.883642197,15.75586
87.885413647,15.3252
88.884681225,15.52246
89.883948803,15.52246
90.883215904,15.41211
91.884987831,15.23926
92.884255886,15.12891
93.883523464,15.85547
94.885294914,14.90723
95.884562492,15.70801
96.883830070,14.35254
97.885601521,14.98047
98.884869099,15.64551
99.884136200,15.78125
100.883402824,15.21484
101.885174751,16.03906
102.884440899,16.56836
103.883707523,15.41113
104.885479450,15.73145
105.884746075,15.3252
106.884013176,15.92871
107.883280277,14.73438
108.885050774,15.53418
109.884317875,15.11523
110.883584976,14.62305
111.885356426,16.46973
112.884624004,14.85742
113.883891106,14.72168
114.883157730,15.0791
115.884930134,14.83301
116.884196758,15.20215
117.883464336,15.15332
118.885236263,15.47266
119.884503841,14.5127
120.883770466,13.88477
121.883038044,14.21777
122.884810448,14.99316
123.884078026,15.55957
124.883345604,14.89453
125.885118008,13.79883
126.884385586,15.03027
127.883653641,15.26465
128.885426044,15.58496
129.884694099,15.89258
130.883962631,15.76953
131.883230209,15.35156
132.885003090,15.36328
133.884270668,15.01855
134.883538723,15.36328
135.885311127,15.20313
136.884578705,14.93262
137.883846283,16.52051
138.883113861,15.58398
139.884885311,15.66992
140.884152412,15.12793
141.883419037,16.03906
142.885190010,16.19922
143.884457111,16.18652
144.883724213,15.94043
145.882990360,15.0293
146.884761333,15.13965
147.884027958,15.2627
148.883294106,15.0166
149.885065079,15.98926
150.884332180,15.5459
151.883598328,16.28418
152.882864475,16.8877
153.884635448,16.58008
154.883902550,15.8291
155.883168697,16.0752
156.884940147,15.98926
157.884206772,15.63184
158.883473396,16.17383
159.885244369,15.5459
160.884511471,15.96484
161.883778095,17.01172
162.883045197,16.23633
163.884816647,15.64551
164.884083748,15.33789
165.883350372,15.79297
166.885122299,15.68262
167.884389877,15.53418
168.883656502,16.07617
169.882923603,15.91602
170.884695053,16.33496
171.883962154,16.49512
173.885000706,16.32227
174.884268284,17.04883
175.883534908,16.1875
176.882802010,16.56836
177.884572983,16.51953
178.883839607,15.99023
179.883106708,15.49805
180.884878159,16.21191
181.884145260,15.46094
182.883412361,14.90625
183.882678986,15.83008
184.884450436,15.33789
185.883718014,16.31055
186.882985592,15.96582
187.884757519,16.37207
188.884025097,16.07617
189.883292675,15.94141
190.885064125,16.4707
191.884331703,15.46191
192.883599758,16.18848
193.882867336,15.91699
194.884639740,15.4248
195.883908272,15.31348
196.883175850,15.54785
197.884948730,15.10547
198.884216785,15.57324
199.883484840,16.00391
200.882753372,15.94238
201.884526253,15.57324
202.883794308,16.44727
203.883063316,17.6543
204.884836197,15.93164
205.884105206,16.26367
206.883374214,16.46094
207.882643223,16.47266
208.884416103,17.01465
209.883685112,16.30078
210.882953644,16.27637
211.884726524,16.49707
212.883995056,16.12793
213.883264065,16.55859
214.882532120,16.76758
215.884305000,16.63281
216.883573532,15.79492
217.882841587,16.91504
218.884614468,17.1123
219.883882523,16.49707
220.883151531,16.47168
221.882420063,15.93066
222.884192944,16.09082
223.883460999,16.2627
224.882729530,15.26563
225.884502411,16.23828
226.883770943,15.75781
227.883039474,14.89648
228.884812355,15.4502
229.884080410,15.38867
230.883349419,15.64746
231.882617950,14.57617
232.884390831,14.89648
233.883659363,16.13965
234.882928371,15.4502
235.884701252,15.15527
236.883970261,15.58594
237.883239269,15.63574
238.882508278,14.65039
239.884281635,15.00781
240.883550644,15.63574
241.882820129,15.68555
242.884593964,15.34082
243.883863449,14.92188
244.883132935,15.31641
245.882402420,15.52539
246.884176731,15.03223
247.883445740,15.62402
248.882715225,15.37793
249.884489536,15.19238
250.883758545,15.53809
251.883028030,16.58398
252.882297039,15.89453
253.884070396,15.31543
254.883338928,15.95605
255.882607937,16.21387
256.884381294,15.22852
257.883649349,15.83203
258.882918358,16.10254
259.884691238,15.7207
260.883959770,16.12695
261.883228302,15.85645
262.882496834,16.32422
263.884269714,15.00684
264.883538723,16.49707
265.882807732,16.75488
266.884580612,15.58594
267.883849144,14.58887
268.883118153,15.52441
269.882387161,15.14258
270.884160995,15.88184
271.883430481,16.23926
272.882699490,16.26367
273.884472847,16.16504
274.883742332,16.17773
