Time (s),Power (dBm),Percentage (%)
0.387418747,-62,76
0.887417316,-64,72
1.387395859,-62,76
1.887555599,-62,76
2.387241840,-64,72
2.887569904,-64,72
3.387401581,-64,72
3.887427330,-64,72
4.387429714,-64,72
4.887508392,-64,72
5.387299538,-64,72
5.887566566,-65,70
6.387396813,-65,70
6.887389660,-65,70
7.387376785,-65,70
7.887585640,-57,86
8.387304783,-62,76
8.887550831,-57,86
9.387226582,-51,98
9.887537479,-55,90
10.387359142,-57,86
10.887359142,-57,86
11.387389660,-53,94
11.887443542,-49,100
12.387211800,-47,100
12.887526512,-51,98
13.387324810,-53,94
13.887341976,-60,80
14.387372494,-65,70
14.887516022,-69,62
15.387213230,-59,82
15.887473106,-64,72
16.387202263,-59,82
16.887420177,-62,76
17.387319088,-57,86
17.887390137,-55,90
18.387264729,-57,86
18.887315273,-59,82
19.387148380,-65,70
19.887390137,-62,76
20.387316704,-55,90
20.887317657,-59,82
21.387190819,-57,86
21.887436390,-60,80
22.387204170,-57,86
22.887315273,-55,90
23.387130737,-61,78
23.887442589,-53,94
24.387151718,-53,94
24.887290001,-49,100
25.387278557,-57,86
25.887277603,-45,100
26.387122631,-45,100
26.887454033,-41,100
27.387265682,-47,100
27.887323379,-59,82
28.387255669,-49,100
28.887416363,-47,100
29.387110710,-57,86
29.887394428,-57,86
30.387073517,-51,98
30.887344837,-57,86
31.387238503,-63,74
31.887267590,-53,94
32.387284279,-51,98
32.887377262,-57,86
33.387066364,-49,100
33.887417793,-67,66
34.387172699,-51,98
34.887239933,-51,98
35.387251377,-69,62
35.887346745,-47,100
36.387052059,-51,98
36.887388229,-55,90
37.387038708,-51,98
37.887293816,-51,98
38.387198925,-51,98
38.887271404,-55,90
39.387209892,-65,70
39.887335300,-59,82
40.387057304,-64,72
40.887341499,-65,70
41.387032509,-62,76
41.887239456,-59,82
42.387210846,-61,78
42.887351036,-57,86
43.387032986,-57,86
43.887348175,-53,94
44.386993408,-60,80
44.887159824,-51,98
45.387194157,-57,86
45.887174606,-55,90
46.387154579,-57,86
46.887330055,-55,90
47.386998177,-55,90
47.887312889,-55,90
48.387140751,-59,82
48.887154579,-60,80
49.387136936,-53,94
49.887242794,-63,74
50.386967182,-53,94
50.887273788,-55,90
51.387130737,-51,98
51.887154102,-55,90
52.387119770,-51,98
52.887116909,-53,94
53.387056828,-55,90
53.887249947,-60,80
54.386975765,-57,86
54.887274742,-57,86
55.387085438,-55,90
55.887105942,-57,86
56.387149334,-57,86
56.887179852,-57,86
57.386953831,-57,86
57.887269497,-62,76
58.387067795,-57,86
58.887125015,-61,78
59.387078285,-47,100
59.887234688,-49,100
60.386950493,-51,98
60.887216091,-53,94
61.386900902,-67,66
61.887246609,-59,82
62.387061119,-62,76
62.887083530,-59,82
63.387054443,-60,80
63.887044907,-69,62
64.386952400,-62,76
64.887227535,-73,54
65.387050629,-60,80
65.887038708,-60,80
66.387073994,-62,76
66.887181282,-63,74
67.386922360,-60,80
67.887210846,-65,70
68.386876583,-65,70
68.887089729,-67,66
69.387020111,-69,62
69.887064457,-59,82
70.386928558,-67,66
70.887156963,-61,78
71.386858463,-71,58
71.887018204,-65,70
72.386929512,-69,62
72.887038708,-64,72
73.386850357,-59,82
73.887131691,-67,66
74.386831284,-64,72
74.886979580,-49,100
75.386867046,-53,94
75.887028217,-53,94
76.386811733,-53,94
76.887040138,-53,94
77.386996269,-53,94
77.886941433,-51,98
78.386818409,-51,98
78.887129307,-53,94
79.386803150,-59,82
79.886992455,-63,74
80.386959076,-53,94
80.887122631,-59,82
81.386791706,-57,86
81.887130260,-51,98
82.386971951,-64,72
82.886992931,-57,86
83.386940956,-53,94
83.886951923,-60,80
84.386889935,-60,80
84.887077808,-55,90
85.386806011,-61,78
85.887097359,-53,94
86.386924267,-49,100
86.886993408,-55,90
87.386951923,-57,86
87.887013912,-64,72
88.386778832,-53,94
88.887089252,-62,76
89.386890411,-55,90
89.886904716,-65,70
90.386936188,-57,86
90.887081623,-59,82
91.386807442,-60,80
91.887071609,-59,82
92.386806965,-59,82
92.887070179,-59,82
93.386882305,-60,80
93.886901855,-60,80
94.386876583,-62,76
94.886849403,-53,94
95.887049198,-69,62
96.386858940,-59,82
96.886874199,-60,80
97.386895180,-55,90
97.886998177,-51,98
98.386684895,-57,86
98.887032032,-59,82
99.386694908,-51,98
99.887010574,-55,90
100.386878491,-49,100
100.886882305,-62,76
101.386872292,-61,78
101.886978626,-64,72
102.386740208,-69,62
102.886958122,-60,80
103.386744499,-59,82
103.886858463,-62,76
104.386787415,-67,66
104.886958599,-65,70
105.386650562,-60,80
105.886913776,-62,76
106.386689186,-59,82
106.886885643,-59,82
107.386748791,-55,90
107.886857510,-61,78
108.386816502,-69,62
108.886874199,-59,82
109.386636257,-57,86
109.886952400,-59,82
110.386676788,-57,86
110.886814117,-53,94
111.386814594,-51,98
111.886925220,-53,94
112.386612892,-53,94
112.886917114,-53,94
113.386608601,-55,90
113.886764050,-55,90
114.386761189,-59,82
114.886775017,-62,76
115.386748791,-55,90
115.886935234,-55,90
116.386630058,-51,98
116.886919022,-59,82
117.386744976,-57,86
117.886814594,-53,94
118.386774540,-64,72
118.886837006,-60,80
119.386603832,-63,74
119.886910915,-57,86
120.386713505,-65,70
120.886728764,-60,80
121.386757851,-62,76
121.886900425,-57,86
122.386576176,-62,76
122.886857986,-62,76
123.386604309,-62,76
123.886697292,-62,76
124.386704445,-55,90
124.886697769,-62,76
125.386514187,-47,100
125.886670113,-49,100
126.386566162,-55,90
