Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.883839130,43.95,32.594
1.885615349,43.978,32.592
2.884887218,43.908,32.592
3.884158611,43.912,32.59
4.885934353,43.936,32.59
5.885205746,43.912,32.59
6.884477615,43.926,32.59
7.883748531,43.928,32.59
8.885524750,43.93,32.588
9.884795666,43.904,32.588
10.884066582,43.914,32.588
11.885841846,43.94,32.588
12.885113716,43.942,32.588
13.884384632,43.946,32.586
14.883655548,43.908,32.588
15.885431290,43.936,32.588
16.884702206,43.93,32.586
17.883973122,43.928,32.586
18.885748386,43.962,32.586
19.885019302,43.938,32.586
20.884291172,43.922,32.586
21.883562088,43.948,32.586
22.885336876,43.904,32.586
23.884608269,43.986,32.586
24.883879185,43.918,32.588
25.885654926,43.882,32.586
26.884925842,43.912,32.588
27.884196758,43.892,32.588
28.885972500,43.934,32.588
29.885243893,43.93,32.588
30.884514809,43.896,32.588
31.883785725,43.914,32.588
32.885561466,43.898,32.588
33.884832382,43.962,32.588
34.884103298,43.96,32.588
35.885878563,43.94,32.588
36.885149479,43.936,32.586
37.884420395,43.904,32.586
38.883691311,43.906,32.586
39.885467052,43.908,32.586
40.884737968,43.918,32.586
41.884008884,43.9,32.586
42.885783672,43.918,32.586
43.885054588,43.92,32.586
44.884325504,43.934,32.586
45.883596420,43.928,32.586
46.885372162,43.946,32.588
47.884643078,43.952,32.588
48.883913994,43.93,32.588
49.885688782,43.954,32.586
50.884959698,43.9,32.586
51.884230614,43.916,32.584
52.883501053,43.872,32.584
53.885275364,43.884,32.582
54.884545326,43.898,32.58
55.883815289,43.912,32.58
56.885589123,43.862,32.578
57.884858131,43.86,32.576
58.884127140,43.818,32.574
59.883396149,43.856,32.572
60.885169029,43.878,32.568
61.884437084,43.856,32.566
62.883705616,43.812,32.564
63.885477543,43.844,32.564
64.884745121,43.798,32.562
65.884012222,43.78,32.56
66.883279800,43.814,32.558
67.885051250,43.8,32.558
68.884318352,43.816,32.556
69.883584499,43.764,32.556
70.885355949,43.78,32.554
71.884623051,43.824,32.554
72.883889198,43.784,32.554
73.885661125,43.794,32.554
74.884927273,43.782,32.554
75.884193897,43.782,32.552
76.883460999,43.774,32.554
77.885231972,43.776,32.554
78.884498119,43.766,32.554
79.883765221,43.792,32.554
80.885536194,43.792,32.554
81.884802818,43.784,32.554
82.884069920,43.81,32.556
83.883336544,43.802,32.556
84.885108471,43.798,32.556
85.884375095,43.76,32.558
86.883642197,43.802,32.558
87.885413647,43.788,32.558
88.884681225,43.76,32.56
89.883948803,43.848,32.56
90.883215904,43.792,32.56
91.884987831,43.82,32.56
92.884255886,43.844,32.562
93.883523464,43.786,32.562
94.885294914,43.742,32.562
95.884562492,43.788,32.562
96.883830070,43.758,32.562
97.883096695,43.74,32.56
98.884869099,43.78,32.56
99.884136200,43.78,32.56
100.883402824,43.78,32.558
101.885174751,43.76,32.558
102.884440899,43.766,32.558
103.883707523,43.802,32.558
104.885479450,43.784,32.556
105.884746075,43.75,32.556
106.884013176,43.768,32.556
107.883280277,43.76,32.556
108.885050774,43.786,32.556
109.884317875,43.798,32.556
110.883584976,43.786,32.556
111.885356426,43.778,32.558
112.884624004,43.814,32.558
113.883891106,43.824,32.558
114.883157730,43.816,32.558
115.884930134,43.832,32.558
116.884196758,43.798,32.558
117.883464336,43.796,32.56
118.885236263,43.79,32.56
119.884503841,43.764,32.56
120.883770466,43.786,32.56
121.883038044,43.81,32.56
122.884810448,43.808,32.56
123.884078026,43.768,32.56
124.883345604,43.79,32.562
125.885118008,43.754,32.562
126.884385586,43.886,32.562
127.883653641,43.804,32.564
128.885426044,43.766,32.564
129.884694099,43.822,32.564
130.883962631,43.794,32.564
131.883230209,43.83,32.566
132.885003090,43.844,32.566
133.884270668,43.806,32.564
134.883538723,43.812,32.564
135.885311127,43.824,32.564
136.884578705,43.8,32.562
137.883846283,43.788,32.562
138.883113861,43.82,32.56
139.884885311,43.782,32.56
140.884152412,43.768,32.558
141.883419037,43.814,32.558
142.885190010,43.82,32.556
143.884457111,43.814,32.556
144.883724213,43.804,32.556
145.882990360,43.77,32.556
146.884761333,43.71,32.554
147.884027958,43.79,32.554
148.883294106,43.802,32.554
149.885065079,43.754,32.554
150.884332180,43.77,32.554
151.883598328,43.778,32.554
152.882864475,43.78,32.554
153.884635448,43.774,32.554
154.883902550,43.778,32.554
155.883168697,43.78,32.554
156.884940147,43.768,32.554
157.884206772,43.768,32.554
158.883473396,43.738,32.554
159.885244369,43.766,32.556
160.884511471,43.788,32.556
161.883778095,43.77,32.558
162.883045197,43.79,32.558
163.884816647,43.802,32.558
164.884083748,43.76,32.558
165.883350372,43.786,32.558
166.885122299,43.774,32.558
167.884389877,43.764,32.56
168.883656502,43.742,32.56
169.882923603,43.78,32.56
170.884695053,43.778,32.56
171.883962154,43.81,32.56
173.885000706,43.824,32.56
174.884268284,43.788,32.558
175.883534908,43.79,32.558
176.882802010,43.768,32.558
177.884572983,43.788,32.558
178.883839607,43.788,32.558
179.883106708,43.746,32.558
180.884878159,43.804,32.558
181.884145260,43.776,32.558
182.883412361,43.79,32.558
183.882678986,43.772,32.558
184.884450436,43.814,32.56
185.883718014,43.776,32.56
186.882985592,43.778,32.56
187.884757519,43.822,32.562
188.884025097,43.836,32.562
189.883292675,43.766,32.562
190.885064125,43.8,32.562
