Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
0.787884712,67.95313,111.46875,3.8825,278.75,0
1.842602730,67.94141,111.1875,3.883125,271.25,0
2.897296429,67.92969,110.90625,3.88125,254.375,0
3.952508450,67.91797,111,3.88125,262.8125,0
4.831140518,67.91797,110.90625,3.885625,261.875,0
5.886017323,67.90625,111.09375,3.88375,258.4375,0
6.940794945,67.89453,110.90625,3.880625,265.9375,0
7.819918156,67.88281,111.09375,3.884375,258.125,0
8.874772549,67.87109,111.375,3.88375,253.4375,0
9.929267883,67.87109,111.375,3.88,258.75,0
10.808398724,67.85547,111.375,3.88375,274.375,0
11.863150597,67.84375,111.46875,3.885,255,0
12.917859077,67.83203,111.5625,3.8825,275.9375,0
13.796854973,67.82031,111.375,3.881875,273.125,0
14.851634979,67.80859,111,3.880625,304.6875,0
15.906624794,67.80859,110.8125,3.883125,276.875,0
16.785471916,67.79688,110.90625,3.884375,241.5625,0
17.840246201,67.78516,110.8125,3.88125,272.1875,0
18.895227909,67.77344,110.8125,3.88125,257.8125,0
19.949980259,67.75781,110.8125,3.881875,256.875,0
20.829016685,67.74609,110.8125,3.88125,265.3125,0
21.883826256,67.74609,111.1875,3.88,264.0625,0
22.938779354,67.73438,111.375,3.88125,252.5,0
23.817520142,67.72266,111.1875,3.88375,273.125,0
24.872363090,67.71094,111,3.881875,269.6875,0
25.927176476,67.69922,111.09375,3.8825,257.1875,0
26.806009293,67.69922,110.71875,3.88125,289.375,0
27.860805511,67.6875,110.625,3.879375,288.125,0
28.915644169,67.67578,110.90625,3.881875,251.25,0
29.794762611,67.66016,110.90625,3.879375,252.5,0
30.849507332,67.64844,110.71875,3.880625,270.625,0
31.904321194,67.63672,110.625,3.88,271.875,0
32.959277630,67.625,110.625,3.880625,273.75,0
33.837968826,67.625,110.34375,3.881875,261.5625,0
34.892878532,67.61328,110.625,3.879375,250.625,0
35.947646618,67.60156,110.53125,3.87875,265.9375,0
36.826774120,67.58984,110.53125,3.88125,269.375,0
37.881693840,67.57813,110.34375,3.88,270.9375,0
38.936163425,67.5625,110.25,3.880625,255,0
39.815267563,67.5625,110.0625,3.879375,282.1875,0
40.869976997,67.55078,110.0625,3.88125,258.4375,0
41.924792767,67.53906,110.15625,3.88125,264.6875,0
42.803753853,67.52734,110.0625,3.88,276.875,0
