Time (s),Humidity (%)
0.738582611,11.25098
1.739532471,11.01367
2.737960815,11.78711
3.738910675,11.31348
4.737339497,12.47363
5.738289356,11.5498
6.739239216,12.71094
7.737668037,11.01367
8.738617897,11.27539
9.739567757,11.21289
10.737997055,10.82617
11.738946915,11.40039
12.737375259,12.16211
13.738325119,12.37402
14.739275455,11.6123
15.737704277,11.2627
16.738654613,11.01367
17.739604950,11.25098
18.738034248,11.25098
19.738984108,11.16309
20.737413406,11.625
21.738363743,12.03711
22.739314556,11.875
23.737743854,11.91309
24.738695145,11.57617
25.739645481,10.36523
26.738074779,11.02637
27.739026070,12.1377
28.737455845,11.9375
29.738407135,11.17676
30.739358425,12
31.737788677,11.00195
32.738739490,11.18945
33.739691734,10.41602
34.738121509,10.21582
35.739073276,10.67773
36.737504005,11.71387
37.738455772,11.36426
38.739408493,11.22754
39.737839699,11.30273
40.738791943,10.3916
41.737223148,10.60352
42.738176346,11.20313
43.739128590,12.13867
44.737560272,11.05273
45.738513470,9.679688
46.739466667,12.18945
47.737897873,11.15332
48.738851070,10.97852
49.737282753,11.09082
50.738236904,11.41602
51.739190102,10.7793
52.737622261,11.26563
53.738575458,12.22754
54.737008095,12.23926
55.737961292,11.0166
56.738914967,10.97949
57.737347603,11.29102
58.738300800,10.35449
59.739254951,11.75293
60.737687588,12.20215
61.738640785,11.0293
62.737073421,11.22852
63.738027096,12.38965
64.738981247,10.9668
65.737413406,10.9668
66.738367557,11.56641
67.739322185,11.41602
68.737754822,12.60156
69.738708496,12.43945
70.737142086,11.1543
71.738095760,11.59082
72.739050388,10.50488
73.737483501,11.04199
74.738438129,11.30371
75.736870766,11.74121
76.737825394,11.4668
77.738780022,10.62988
78.737213135,10.9043
79.738167763,12.95215
80.739122391,11.4043
81.737555504,10.91699
82.738509655,12.07813
83.736942768,10.61719
84.737896919,11.60352
85.738850594,10.8291
86.737283230,12.29004
87.738236427,11.75293
88.739190578,11.59082
89.737622261,10.6543
90.738574982,11.25293
91.737006664,11.77734
92.737959385,11.55273
93.738912105,11.20313
94.737343311,12.02637
95.738295078,11.54004
96.736725807,10.32813
97.737677097,11.60156
98.738628864,11.48926
99.737058639,12.21289
100.738009930,10.96484
101.738960743,11.71387
102.737390518,11.70117
103.738341331,11.60059
104.736770153,12.51172
105.737720966,11.91309
106.738671303,11.48828
107.737100124,11.10156
108.738050938,11.7627
109.739000797,11.40039
110.737429142,11.77539
111.738379955,11.26367
112.736808300,10.26465
113.737757683,11.82422
114.738707542,11.2627
116.738085270,10.97559
117.739034653,11.0752
118.737462521,12.04883
119.738410950,11.1748
120.736838818,11.78711
121.737788200,11.53711
122.738736629,11.33789
123.737164020,11.3252
