Time (s),Power (dBm),Percentage (%)
0.241114616,-51,98
0.741318226,-51,98
1.240952015,-51,98
1.741098404,-49,100
2.241135120,-49,100
2.741151333,-51,98
3.241137028,-49,100
3.741233349,-49,100
4.240932465,-49,100
4.741246223,-51,98
5.241077900,-49,100
5.741142750,-55,90
6.240906239,-51,98
6.741247654,-57,86
7.241078377,-53,94
7.741062641,-57,86
8.241091251,-55,90
8.741209030,-62,76
9.240937233,-62,76
9.741134167,-59,82
10.241072655,-65,70
10.741057396,-57,86
11.241016388,-55,90
11.741160870,-51,98
12.240885735,-59,82
12.741018772,-57,86
13.240993023,-62,76
13.741175175,-67,66
14.240898132,-57,86
14.741153240,-69,62
15.241046906,-55,90
15.741013050,-51,98
16.240859985,-58,84
16.741173267,-49,100
17.240893364,-47,100
17.741160870,-60,80
18.240981102,-55,90
18.741096020,-51,98
19.240883827,-49,100
19.741152286,-55,90
20.240922451,-47,100
20.740974903,-53,94
21.240995884,-53,94
21.741131306,-44,100
22.240802288,-49,100
22.740912437,-51,98
23.240980625,-41,100
23.740937233,-44,100
24.240932941,-45,100
24.741080284,-47,100
25.240754604,-37,100
25.741058826,-43,100
26.240921974,-35,100
26.740966797,-29,100
27.240739822,-37,100
27.741058826,-47,100
28.240821838,-65,70
28.740898132,-62,76
29.240934849,-51,98
29.740899086,-59,82
30.240782738,-59,82
30.740921974,-51,98
31.240767956,-64,72
31.740930557,-53,94
32.240871429,-57,86
32.740855694,-53,94
33.240724087,-55,90
33.741076469,-59,82
34.240724087,-59,82
34.741014957,-59,82
35.240692616,-57,86
35.740811348,-67,66
36.240855217,-67,66
36.740863323,-59,82
37.240656853,-55,90
37.741024494,-55,90
38.240680218,-63,74
38.740993977,-64,72
39.740813732,-57,86
40.240644932,-57,86
40.740959644,-51,98
41.240693092,-53,94
41.740869045,-53,94
42.240838528,-53,94
42.740982056,-61,78
43.240654945,-59,82
43.740937233,-64,72
44.240789890,-57,86
44.740793228,-62,76
45.240750313,-65,70
45.740924835,-55,90
46.240621567,-57,86
46.740901947,-62,76
47.240767479,-64,72
47.740840435,-59,82
48.240600109,-57,86
48.740937710,-61,78
49.240752697,-55,90
49.740768433,-51,98
50.240781784,-65,70
50.740946770,-49,100
51.240592480,-51,98
51.740764141,-53,94
52.240765095,-63,74
52.740728855,-65,70
53.240749836,-65,70
53.740863323,-59,82
54.240551472,-62,76
54.740850449,-60,80
55.240706921,-53,94
55.740811348,-57,86
56.240532875,-71,58
56.740841865,-67,66
57.240761757,-53,94
57.740744114,-55,90
58.240537167,-53,94
58.740870953,-53,94
59.240541935,-65,70
59.740785599,-62,76
60.240705967,-62,76
60.740662098,-59,82
61.240708351,-59,82
61.740843296,-55,90
62.240544319,-60,80
62.740718365,-55,90
63.240683556,-57,86
63.740763664,-65,70
64.240467548,-60,80
64.740818977,-65,70
65.240605831,-57,86
65.740684509,-57,86
66.240603924,-59,82
66.740693569,-57,86
67.240518570,-51,98
67.740737915,-53,94
68.240526199,-57,86
68.740604877,-55,90
69.240445614,-51,98
69.740685940,-59,82
70.240648270,-49,100
70.740663052,-51,98
71.240519047,-51,98
71.740747929,-59,82
72.240413189,-51,98
72.740614891,-53,94
73.240610123,-51,98
73.740590095,-51,98
74.240553856,-51,98
74.740707397,-51,98
75.240427017,-51,98
75.740703583,-67,66
76.240550995,-65,70
76.740717888,-67,66
77.240452766,-64,72
77.740721226,-51,98
78.240583420,-62,76
78.740535736,-64,72
79.240406036,-57,86
79.740714550,-47,100
80.240412235,-49,100
80.740643024,-62,76
81.240513802,-57,86
81.740569115,-45,100
82.240379334,-55,90
82.740650177,-62,76
83.240359783,-57,86
83.740501881,-60,80
84.240528584,-53,94
84.740479469,-55,90
85.240336895,-59,82
85.740627289,-61,78
86.240512848,-59,82
86.740525722,-53,94
87.240440369,-65,70
87.740424633,-55,90
88.240357876,-47,100
88.740622520,-57,86
89.240454674,-51,98
89.740513802,-71,58
90.240299702,-57,86
90.740625381,-57,86
91.240496635,-55,90
91.740449905,-55,90
92.240468502,-55,90
92.740630150,-47,100
93.240331650,-53,94
93.740510464,-53,94
94.240417481,-53,94
94.740413666,-53,94
95.240440846,-59,82
95.740621567,-57,86
96.240286827,-57,86
96.740557194,-57,86
97.240431309,-59,82
97.740530491,-59,82
98.240297794,-57,86
98.740529537,-49,100
