Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.738582611,43.356,32.502
1.739532471,43.344,32.502
2.737960815,43.382,32.502
3.738910675,43.316,32.502
4.737339497,43.372,32.502
5.738289356,43.342,32.502
6.739239216,43.378,32.502
7.737668037,43.34,32.502
8.738617897,43.336,32.502
9.739567757,43.32,32.502
10.737997055,43.352,32.502
11.738946915,43.33,32.502
12.737375259,43.398,32.502
13.738325119,43.408,32.502
14.739275455,43.354,32.504
15.737704277,43.4,32.504
16.738654613,43.344,32.504
17.739604950,43.376,32.504
18.738034248,43.394,32.504
19.738984108,43.404,32.504
20.737413406,43.39,32.504
21.738363743,43.408,32.506
22.739314556,43.38,32.506
23.737743854,43.358,32.506
24.738695145,43.356,32.506
25.737124443,43.368,32.508
26.738074779,43.428,32.508
27.739026070,43.368,32.508
28.737455845,43.424,32.51
29.738407135,43.408,32.51
30.739358425,43.404,32.51
31.737788677,43.41,32.512
32.738739490,43.386,32.512
33.737170219,43.43,32.512
34.738121509,43.392,32.514
35.739073276,43.45,32.514
36.737504005,43.44,32.516
37.738455772,43.452,32.516
38.739408493,43.43,32.516
39.737839699,43.462,32.518
40.738791943,43.488,32.518
41.737223148,43.472,32.52
42.738176346,43.464,32.52
43.739128590,43.468,32.52
44.737560272,43.454,32.522
45.738513470,43.496,32.522
46.739466667,43.488,32.522
47.737897873,43.472,32.524
48.738851070,43.474,32.524
49.737282753,43.498,32.524
50.738236904,43.486,32.524
51.739190102,43.504,32.524
52.737622261,43.476,32.526
53.738575458,43.5,32.526
54.737008095,43.502,32.526
55.737961292,43.524,32.526
56.738914967,43.528,32.528
57.737347603,43.518,32.528
58.738300800,43.498,32.526
59.739254951,43.442,32.528
60.737687588,43.488,32.528
61.738640785,43.516,32.528
62.737073421,43.484,32.528
63.738027096,43.48,32.528
64.738981247,43.488,32.528
65.737413406,43.516,32.528
66.738367557,43.534,32.528
67.736800671,43.536,32.53
68.737754822,43.502,32.53
69.738708496,43.538,32.53
70.737142086,43.548,32.53
71.738095760,43.518,32.53
72.739050388,43.556,32.53
73.737483501,43.492,32.53
74.738438129,43.54,32.532
75.736870766,43.552,32.532
76.737825394,43.534,32.53
77.738780022,43.512,32.53
78.737213135,43.512,32.532
79.738167763,43.566,32.532
80.739122391,43.526,32.532
81.737555504,43.528,32.53
82.738509655,43.52,32.53
83.736942768,43.526,32.53
84.737896919,43.488,32.53
85.738850594,43.458,32.53
86.737283230,43.49,32.528
87.738236427,43.508,32.528
88.739190578,43.464,32.526
89.737622261,43.48,32.526
90.738574982,43.486,32.524
91.737006664,43.454,32.522
92.737959385,43.464,32.522
93.738912105,43.42,32.52
94.737343311,43.464,32.52
95.738295078,43.428,32.518
96.736725807,43.468,32.518
97.737677097,43.44,32.516
98.738628864,43.408,32.514
99.737058639,43.388,32.514
100.738009930,43.394,32.512
101.738960743,43.398,32.51
102.737390518,43.356,32.51
103.738341331,43.388,32.51
104.736770153,43.434,32.508
105.737720966,43.402,32.508
106.738671303,43.39,32.506
107.737100124,43.37,32.506
108.738050938,43.39,32.506
109.739000797,43.346,32.504
110.737429142,43.332,32.504
111.738379955,43.382,32.504
112.736808300,43.37,32.502
113.737757683,43.296,32.5
114.738707542,43.34,32.5
116.738085270,43.316,32.5
117.736513138,43.38,32.5
118.737462521,43.318,32.498
119.738410950,43.314,32.498
120.736838818,43.32,32.498
121.737788200,43.312,32.498
122.738736629,43.344,32.496
123.737164020,43.326,32.496
124.738112926,43.286,32.496
125.736539841,43.268,32.494
126.737487793,43.316,32.494
127.738436222,43.304,32.492
128.736863136,43.31,32.492
129.737811089,43.282,32.49
130.738758087,43.286,32.49
131.737184048,43.266,32.488
132.738131523,43.224,32.488
133.736557484,43.248,32.486
134.737504482,43.258,32.484
135.738451004,43.23,32.484
136.736876488,43.214,32.482
137.737822056,43.226,32.48
138.738769054,43.214,32.48
139.737193584,43.2,32.478
140.738139152,43.224,32.478
141.736564159,43.194,32.476
142.737509251,43.194,32.476
143.738454342,43.246,32.474
144.736878872,43.238,32.474
145.737824440,43.206,32.472
146.738769054,43.182,32.47
147.737192631,43.164,32.47
148.738138199,43.202,32.468
149.736561298,43.172,32.468
150.737505913,43.198,32.466
151.738449573,43.2,32.466
152.736873150,43.178,32.466
153.737816811,43.118,32.464
154.736239433,43.184,32.464
155.737183571,43.206,32.462
156.738127232,43.122,32.462
157.736549854,43.108,32.46
158.737493992,43.128,32.46
159.738437176,43.136,32.46
160.736858845,43.11,32.458
161.737802505,43.098,32.458
162.736223698,43.108,32.456
163.737166882,43.116,32.456
164.738109589,43.114,32.454
165.736530781,43.102,32.454
166.737472534,43.086,32.452
167.738415241,43.038,32.452
168.736835480,43.064,32.452
169.737777710,43.096,32.45
170.736198425,43.054,32.45
171.737140179,43.028,32.448
172.738081455,43.104,32.448
173.736501217,43.038,32.446
174.737442493,43.056,32.446
176.736803532,43.028,32.444
177.737744331,43.066,32.442
178.736163616,43.08,32.442
179.737103939,42.992,32.44
180.738043785,43.022,32.44
181.736463070,42.976,32.438
182.737403393,43.052,32.436
183.738342285,42.964,32.436
184.736761093,43.01,32.434
185.737700939,42.986,32.432
186.736118793,42.98,32.432
187.737058639,42.988,32.432
188.737998009,43.004,32.432
189.736415863,42.99,32.43
190.737355232,43.042,32.43
191.738295078,43.036,32.432
192.736712933,43.04,32.432
193.737652302,43.002,32.43
194.736070156,43.01,32.43
195.737009525,42.96,32.43
196.737948894,42.974,32.43
197.736366749,42.968,32.43
198.737305641,42.964,32.43
199.738245010,42.972,32.43
200.736662388,42.96,32.43
201.737601757,42.958,32.43
202.736018658,42.99,32.428
203.736957550,42.954,32.428
204.737896919,42.988,32.428
205.736313820,42.972,32.428
206.737251759,42.92,32.426
207.738190651,42.92,32.426
208.736607075,42.93,32.424
209.737545013,42.97,32.424
