Time (s),Humidity (%)
0.195600987,20.8623
1.193825245,21.42773
2.194533348,20.4209
3.195241451,20.64258
4.193466663,20.53223
5.194175243,21.13477
6.194884300,20.25
7.195593357,20.85352
8.193819523,20.55859
9.194529533,21.08691
10.195239067,21.40723
11.193466187,20.70703
12.194176674,21.1748
13.194887638,21.43359
14.195598602,21.31055
15.193827152,20.89258
16.194538117,20.5498
17.195250511,19.92188
18.193479061,19.94727
19.194191456,21.41113
20.194904804,21.0918
21.195617199,21.0918
22.193846703,20.41602
23.194560528,20.44141
24.195273399,20.4541
25.193503857,19.86328
26.194217682,19.82715
27.194931507,19.91309
28.195645809,20.81152
29.193877220,20.33203
30.194591522,20.0127
31.195305824,20.0498
32.193536758,21.02148
34.194966316,19.90234
35.195681572,19.25
36.193913460,20.41992
37.194628239,20.44434
38.195343494,19.8418
39.193575382,19.57031
40.194290161,20.08691
41.195005417,20.39551
42.193237782,20.54297
43.193953514,20.41992
44.194668770,20.74023
45.195384502,20.51855
46.193616867,19.96484
47.194332600,19.47363
48.195048332,20.9375
49.193280697,20.69141
50.193996429,20.23633
51.194713116,20.67969
52.195428848,20.2373
53.193661690,20.61816
54.194378853,20.40918
55.195095062,20.38477
56.193328381,20.13867
57.194045544,20.52051
58.194762230,21.00098
59.195479393,20.97656
60.193713188,20.21387
61.194430828,21.18555
62.195147991,20.96484
63.193382740,20.76758
64.194100380,21.33398
65.194818020,20.75586
66.195535660,20.5957
67.193770886,20.42383
68.194488525,20.0791
69.195207119,20.27637
70.193442345,19.93164
71.194160461,19.71094
72.194879055,20.73242
73.193114281,20.32617
74.193833351,20.99121
75.194551468,20.36328
76.195270538,20.04395
77.193506241,20.40039
78.194225311,20.22852
79.194944382,19.62598
80.193181038,20.25391
81.193900585,20.68457
82.194619656,21.13965
83.195339680,20.88184
84.193575859,20.32813
85.194295883,19.95898
86.195015907,20.83301
87.193252564,20.29199
88.193973064,20.88184
89.194692612,20.19336
90.195413113,20.25488
91.193650246,20.26758
93.195091248,20.40332
94.193328857,20.63672
95.194049358,20.55078
96.194770336,20.74805
97.193007946,20.95801
98.193728924,20.14551
99.194450378,20.78516
100.195171356,20.51465
101.193409920,20.73633
102.194131374,20.73633
103.194853306,19.82617
104.193091393,20.14648
105.193813324,20.20801
106.194535255,19.87598
107.195257664,19.97461
108.193496704,20.47949
109.194218159,20.38086
110.194940567,20.34473
111.193180084,20.63965
112.193902493,21.09473
113.194625378,20.82422
114.192864418,20.76367
115.193587303,20.44336
116.194310665,20.17285
117.195033550,18.92969
118.193273544,19.25
119.193996429,19.63184
120.194719791,19.82813
121.192960262,19.74219
122.193683147,20.2959
123.194406033,20.41992
124.195129871,20.50586
125.193370342,20.03809
126.194094181,19.70605
127.194818020,20.50684
128.193058491,20.4082
129.193782806,20.27246
130.194507122,20.35938
131.195230961,19.04199
132.193472385,19.46094
133.194197178,20.37207
134.194921494,20.06445
135.193163395,20.22461
136.193888187,21
137.194612503,20.7666
138.192855358,20.72949
139.193580151,20.60645
140.194305420,20.43457
141.195031166,20.08984
142.193273544,20.98926
143.193999291,20.04102
144.194725514,20.52148
145.192968845,20.94043
146.193695068,20.50977
147.194422245,20.0791
148.195149422,20.91699
149.193393707,20.79395
150.194121361,20.21582
151.194849014,21.11523
