Time (s),Gyroscope And Accelerometer (degC),Environmental Sensor (degC)
0.078853130,44.602,32.716
1.080646992,44.58,32.718
2.079937458,44.594,32.72
3.079228401,44.628,32.722
4.081023216,44.652,32.724
5.080314159,44.672,32.726
6.079605579,44.642,32.726
7.078897476,44.632,32.728
8.080693722,44.668,32.73
9.079985142,44.62,32.732
10.079277992,44.672,32.734
11.081075192,44.666,32.736
12.080367088,44.64,32.736
13.079660893,44.674,32.74
14.078953743,44.726,32.74
15.080751896,44.724,32.742
16.080045700,44.748,32.744
17.079339981,44.744,32.746
18.078634262,44.736,32.748
19.080432892,44.756,32.748
20.079727173,44.738,32.75
21.079022408,44.82,32.752
22.080821991,44.764,32.754
23.080117226,44.774,32.756
24.079412460,44.798,32.756
25.078707695,44.746,32.756
26.080508232,44.782,32.758
27.079803944,44.808,32.76
28.079100132,44.792,32.76
29.080900669,44.818,32.762
30.080197334,44.812,32.762
31.079493523,44.82,32.764
32.078789711,44.806,32.764
33.080590725,44.836,32.764
34.079887390,44.816,32.766
35.079184532,44.832,32.766
37.080282211,44.84,32.766
38.079579353,44.836,32.766
39.078876019,44.788,32.766
40.080677509,44.804,32.768
41.079974651,44.844,32.768
42.079271317,44.868,32.768
43.078568459,44.91,32.768
44.080369949,44.838,32.768
45.079667568,44.898,32.768
46.078964233,44.844,32.768
47.080766678,44.86,32.768
48.080063820,44.876,32.77
49.079361439,44.904,32.77
50.078658581,44.874,32.77
51.080461025,44.868,32.77
52.079758644,44.854,32.77
53.079056740,44.82,32.772
54.080859184,44.862,32.772
55.080157280,44.94,32.774
56.079455853,44.892,32.774
57.078754425,44.87,32.774
58.080557346,44.924,32.776
59.079855919,44.922,32.778
60.079154491,44.902,32.778
61.078453541,44.92,32.778
62.080256939,44.916,32.78
63.079556942,44.932,32.78
64.078856468,44.966,32.782
65.080659866,44.896,32.782
66.079959393,44.906,32.784
67.079258919,44.904,32.784
68.078559399,44.922,32.784
69.080363750,44.936,32.784
70.079663277,44.946,32.786
71.078963280,44.92,32.786
72.080767632,44.938,32.788
73.080067635,44.962,32.788
74.079368114,44.964,32.79
75.078669071,44.962,32.79
76.080473900,44.988,32.79
77.079774380,44.962,32.79
78.079075336,44.956,32.79
79.078375340,44.942,32.792
80.080181122,44.954,32.792
81.079482079,44.964,32.792
82.078782082,45.004,32.79
83.080587864,44.984,32.79
84.079887867,44.992,32.79
85.079188824,44.924,32.79
86.078489780,44.988,32.792
87.080294609,44.956,32.792
88.079595566,44.954,32.792
89.078896523,44.984,32.792
90.080701351,44.976,32.792
91.080002308,44.978,32.792
92.079303265,45.012,32.792
93.078604221,44.964,32.792
94.080410004,44.986,32.792
95.079710484,44.956,32.792
96.079011440,44.982,32.792
97.078312397,45.016,32.794
98.080118179,44.976,32.794
99.079419613,45.02,32.794
100.078720570,45.032,32.794
101.080526829,44.99,32.794
102.079827786,45.036,32.794
103.079129219,45.014,32.796
104.078431129,45.01,32.796
105.080237389,45.054,32.798
106.079538822,44.994,32.8
107.078841209,45.022,32.8
108.080647469,45,32.802
109.079949379,45.042,32.802
110.079251289,45.044,32.802
111.078553200,45.036,32.804
112.080360413,44.99,32.804
113.079662323,45.03,32.802
114.078964710,44.976,32.802
115.078267097,45.022,32.802
116.080073357,45.038,32.802
117.079375744,45.07,32.802
118.078677654,45.05,32.802
119.080484867,45.05,32.802
120.079786778,45.066,32.802
121.079088688,45.016,32.802
122.078390598,44.992,32.802
123.080197811,45.064,32.802
124.079499722,45.096,32.802
125.078802109,44.996,32.802
126.078104496,45.01,32.802
127.079911232,45.032,32.802
128.079213619,45.072,32.802
129.078516006,45.02,32.802
130.080322742,45.02,32.804
131.079625607,45.034,32.804
132.078927994,45.078,32.806
133.078230858,45.098,32.806
134.080038548,45.072,32.806
135.079341412,45.032,32.808
136.078644276,45.048,32.808
137.077947140,45.092,32.808
138.079754829,45.088,32.808
139.079058170,45.034,32.808
140.078361511,45.078,32.81
141.080168724,45.088,32.81
142.079472542,45.048,32.812
143.078775883,45.064,32.812
144.078079700,45.05,32.812
145.079887867,45.082,32.812
146.079191208,45.106,32.814
147.078495026,45.106,32.814
148.080303192,45.054,32.814
149.079607487,45.09,32.814
150.078911304,45.082,32.814
151.078214645,45.1,32.816
