Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
1.073018551,63.23047,103.5,3.85,257.8125,0
2.127964973,63.21875,103.5,3.85125,259.0625,0
3.006879807,63.21875,103.6875,3.848125,254.375,0
4.061621189,63.20703,103.3125,3.849375,265.9375,0
5.116560459,63.19531,103.6875,3.849375,277.5,0
5.995402813,63.18359,103.3125,3.85125,243.125,0
7.050321102,63.16797,103.6875,3.849375,256.25,0
8.104980946,63.15625,103.78125,3.84875,277.5,0
8.984006882,63.15625,103.6875,3.85,259.375,0
10.038797379,63.14453,103.59375,3.84875,275.9375,0
11.093675137,63.13281,103.59375,3.85,267.8125,0
12.148539066,63.12109,103.59375,3.849375,271.5625,0
13.027438164,63.10938,103.59375,3.84625,278.75,0
14.082507610,63.10938,103.6875,3.85,259.0625,0
15.136936665,63.09766,103.59375,3.84875,261.25,0
16.016101360,63.08594,103.6875,3.84875,258.4375,0
17.070790768,63.07031,103.59375,3.85125,278.4375,0
18.125921726,63.05859,103.40625,3.849375,259.0625,0
19.004530430,63.04688,103.5,3.8475,268.75,0
20.059474945,63.04688,103.6875,3.85,250,0
21.114250183,63.03516,103.6875,3.850625,249.6875,0
21.993577480,63.02344,103.6875,3.848125,278.125,0
23.047961712,63.01172,103.6875,3.848125,268.75,0
24.102765560,63,103.6875,3.849375,258.75,0
24.981844902,63,103.59375,3.845625,260,0
26.036662579,62.98828,103.59375,3.84875,258.125,0
27.091905594,62.97266,103.59375,3.846875,248.75,0
28.146140099,62.96094,103.59375,3.85,260,0
29.025074959,62.94922,103.6875,3.848125,256.875,0
30.080082417,62.9375,103.59375,3.84875,262.8125,0
31.134783745,62.9375,103.5,3.848125,259.375,0
32.013743877,62.92578,103.40625,3.84625,252.1875,0
33.068484306,62.91406,103.40625,3.845625,256.875,0
34.123436928,62.90234,103.3125,3.848125,261.5625,0
35.002421856,62.89063,103.5,3.84875,260.3125,0
36.057882309,62.875,103.5,3.8475,261.25,0
37.111877918,62.875,103.59375,3.84625,247.5,0
37.990881443,62.86328,103.59375,3.848125,277.1875,0
39.045814037,62.85156,103.40625,3.848125,262.8125,0
40.100563526,62.83984,103.40625,3.846875,244.0625,0
41.155273914,62.82813,103.40625,3.844375,274.0625,0
42.034546375,62.82813,103.3125,3.85,255.9375,0
43.089033604,62.81641,103.5,3.8475,269.375,0
44.144025326,62.80469,103.5,3.844375,305.3125,0
45.022909164,62.79297,103.21875,3.84625,262.5,0
46.077842236,62.77734,103.125,3.8475,259.0625,0
47.132623673,62.76563,103.125,3.8475,266.875,0
48.011438847,62.76563,103.03125,3.845625,253.4375,0
49.066408157,62.75391,102.84375,3.84625,257.8125,0
50.121261597,62.74219,102.84375,3.846875,308.75,0
52.054828644,62.71875,102.46875,3.844375,256.25,0
53.109745979,62.70703,102.75,3.84625,285.9375,0
53.988770008,62.70703,102.5625,3.84625,263.75,0
55.043802738,62.69531,102.46875,3.846875,248.4375,0
56.098169804,62.67969,102.5625,3.84625,273.75,0
57.152991772,62.66797,102.75,3.8475,250.3125,0
58.032135487,62.65625,102.84375,3.844375,272.1875,0
59.086846828,62.65625,102.9375,3.8475,256.875,0
60.141821384,62.64453,102.9375,3.846875,262.5,0
61.020782948,62.63281,102.75,3.845,269.0625,0
62.075378895,62.62109,102.75,3.844375,259.6875,0
63.130300522,62.60938,102.84375,3.843125,264.6875,0
64.009771347,62.60938,102.75,3.844375,273.4375,0
65.064251900,62.59766,102.65625,3.84375,263.4375,0
66.118813515,62.58203,102.65625,3.84375,254.375,0
66.997860432,62.57031,102.65625,3.844375,272.1875,0
68.052725315,62.55859,103.03125,3.846875,266.25,0
69.107426643,62.54688,102.75,3.845625,257.8125,0
69.986755848,62.54688,102.84375,3.841875,279.0625,0
71.041136265,62.53516,103.03125,3.843125,252.8125,0
72.096080303,62.52344,102.9375,3.845,260.9375,0
73.150794029,62.51172,102.84375,3.8475,251.875,0
74.029733181,62.5,102.9375,3.84625,244.6875,0
75.084774494,62.48438,102.75,3.841875,259.6875,0
76.139328003,62.48438,102.5625,3.845625,247.5,0
77.018462181,62.47266,102.65625,3.844375,258.75,0
78.073420525,62.46094,102.5625,3.84625,260.625,0
79.128457069,62.44922,102.65625,3.844375,250,0
80.007034779,62.4375,102.46875,3.84625,268.125,0
81.061839581,62.42578,102.5625,3.846875,254.0625,0
82.116661549,62.42578,102.46875,3.844375,260.3125,0
82.995580196,62.41406,102.46875,3.845,256.25,0
84.050420284,62.40234,102.46875,3.845,252.8125,0
85.105089188,62.38672,102.46875,3.844375,262.5,0
85.984194756,62.375,102.5625,3.84375,256.25,0
87.039019585,62.375,102.5625,3.846875,246.5625,0
88.093726158,62.36328,102.46875,3.845625,271.5625,0
89.148684502,62.35156,102.46875,3.845625,279.0625,0
90.027464390,62.33984,102.46875,3.844375,251.25,0
91.082398891,62.32813,102.375,3.8425,256.25,0
92.137666702,62.31641,102.46875,3.844375,272.8125,0
93.016422272,62.31641,102.375,3.844375,247.8125,0
94.070923805,62.30469,102.1875,3.844375,246.25,0
95.125793457,62.28906,102.375,3.84125,289.375,0
96.004790783,62.27734,102.375,3.84375,254.0625,0
97.059585571,62.26563,102.375,3.84375,257.8125,0
98.114655018,62.26563,102.375,3.8425,269.6875,0
98.993257523,62.25391,102.375,3.8425,257.1875,0
100.048211098,62.24219,102.1875,3.841875,261.5625,0
101.102955341,62.23047,102.1875,3.84125,267.5,0
101.982409477,62.21875,102.1875,3.84625,262.8125,0
103.036626816,62.20703,102.09375,3.84125,260.9375,0
104.091415882,62.20703,102.1875,3.84375,269.0625,0
105.146348000,62.19141,102.09375,3.84375,261.5625,0
106.025576591,62.17969,102.09375,3.840625,270,0
107.080620766,62.16797,102.1875,3.8425,269.0625,0
108.134956360,62.15625,102.09375,3.843125,265.3125,0
109.013801575,62.15625,102.1875,3.8425,257.5,0
110.068817139,62.14453,102.09375,3.8425,260.625,0
111.123597145,62.13281,102.09375,3.8425,268.4375,0
112.002432823,62.12109,102,3.84125,268.4375,0
113.057238579,62.10938,102,3.8425,268.75,0
114.112121105,62.09375,102.09375,3.841875,261.5625,0
114.991177559,62.09375,102.09375,3.84125,261.25,0
116.045787334,62.08203,102.09375,3.843125,270,0
117.100576878,62.07031,102,3.8425,264.6875,0
118.155378819,62.05859,102.09375,3.84375,244.6875,0
119.034553051,62.04688,101.90625,3.843125,274.0625,0
120.089276314,62.03516,102.09375,3.841875,258.125,0
