Time (s),Power (dBm),Percentage (%)
0.435487270,-61,78
0.935620785,-62,76
1.435296059,-53,94
1.935619354,-53,94
2.435471058,-53,94
2.935451508,-55,90
3.435366154,-59,82
3.935568809,-57,86
4.435257435,-64,72
4.935585976,-55,90
5.435449123,-60,80
5.935402393,-57,86
6.435242176,-60,80
6.935582638,-60,80
7.435344219,-64,72
7.935389519,-59,82
8.435390473,-62,76
8.935562134,-55,90
9.435239315,-62,76
9.935345650,-49,100
10.435411930,-59,82
10.935396671,-53,94
11.435404301,-53,94
11.935510159,-53,94
12.435210228,-57,86
12.935525417,-49,100
13.435353756,-55,90
13.935397625,-59,82
14.435174942,-53,94
14.935488224,-55,90
15.435289860,-49,100
15.935335159,-55,90
16.435366631,-59,82
16.935466290,-49,100
17.435146332,-51,98
17.935287476,-45,100
18.435238361,-51,98
18.935341358,-45,100
19.435257912,-47,100
19.935362816,-45,100
20.435190201,-45,100
20.935417175,-55,90
21.435194969,-41,100
21.935345173,-37,100
22.435134888,-43,100
22.935353756,-49,100
23.435277462,-62,76
23.935283184,-45,100
24.435151100,-53,94
24.935439587,-62,76
25.435135841,-65,70
25.935242176,-57,86
26.435256958,-62,76
26.935297966,-59,82
27.435265541,-55,90
27.935391426,-64,72
28.435105801,-57,86
28.935358047,-53,94
29.435270786,-60,80
29.935251713,-57,86
30.435081482,-61,78
30.935369015,-57,86
31.435234070,-53,94
31.935293198,-59,82
32.435248852,-61,78
32.935421467,-59,82
33.435028076,-65,70
33.935167313,-59,82
34.435235024,-59,82
34.935198307,-51,98
35.435169697,-59,82
35.935333252,-55,90
36.435081005,-55,90
36.935317993,-59,82
37.435177326,-62,76
37.935173035,-57,86
38.435008049,-60,80
38.935347557,-61,78
39.435197353,-57,86
39.935169697,-51,98
40.435190678,-59,82
40.935316086,-57,86
41.434989452,-57,86
41.935134411,-55,90
42.435173988,-53,94
42.935178757,-55,90
43.435101509,-53,94
43.935307980,-51,98
44.434990883,-53,94
44.935256481,-63,74
45.435152054,-65,70
45.935144424,-59,82
46.434979916,-59,82
46.935249805,-59,82
47.435162068,-51,98
47.935099125,-57,86
48.435093880,-67,66
48.935254097,-57,86
49.434970379,-55,90
49.935140610,-59,82
50.435115337,-51,98
50.935073853,-60,80
51.435099602,-53,94
51.935249805,-47,100
52.434970856,-59,82
52.935197830,-47,100
53.435056687,-53,94
53.935165882,-49,100
54.434885025,-47,100
54.935229301,-53,94
55.435088635,-61,78
55.935033798,-67,66
56.435070038,-53,94
56.935167789,-62,76
57.434900761,-47,100
57.935087681,-53,94
58.435025692,-59,82
58.935017586,-47,100
59.434989929,-53,94
59.935113430,-51,98
60.434823036,-49,100
60.935133934,-59,82
61.434981346,-53,94
61.935106277,-51,98
62.434823513,-53,94
62.935105324,-57,86
63.435029984,-49,100
63.935019493,-51,98
64.434937954,-45,100
64.935123444,-59,82
65.434828758,-51,98
65.935077667,-47,100
66.434960365,-44,100
66.934949875,-37,100
67.434957028,-35,100
67.935130119,-49,100
68.434774876,-59,82
68.935119152,-55,90
69.434937477,-59,82
69.935142994,-67,66
70.434778214,-61,78
70.935107708,-60,80
71.434923172,-59,82
71.934940815,-65,70
72.434824467,-53,94
72.935059547,-59,82
73.434802532,-55,90
74.434936524,-62,76
74.934946537,-67,66
75.434747696,-59,82
75.935037136,-61,78
76.434747696,-57,86
76.934949875,-59,82
77.434916020,-55,90
77.934864044,-59,82
78.434721947,-55,90
78.935014248,-59,82
79.434681416,-61,78
79.934854507,-67,66
80.434807301,-69,62
80.934808254,-65,70
81.434757233,-62,76
81.934973717,-59,82
82.434877873,-60,80
82.934831619,-55,90
83.434662819,-65,70
83.934801102,-59,82
84.434784412,-67,66
84.934847832,-67,66
85.434630871,-57,86
85.934985638,-53,94
86.434698105,-64,72
86.934806347,-59,82
87.434840679,-61,78
87.934810162,-71,58
88.434787750,-65,70
88.934938908,-69,62
89.434698582,-67,66
89.934952736,-57,86
90.434782505,-59,82
90.934848309,-60,80
91.434643269,-57,86
91.934952736,-49,100
92.434789658,-53,94
92.934769154,-55,90
93.434760094,-57,86
93.934919357,-55,90
94.434649468,-57,86
94.934786320,-53,94
95.434783459,-51,98
95.934757233,-61,78
96.434790611,-55,90
96.934915066,-55,90
97.434572697,-53,94
97.934928894,-55,90
98.434725285,-51,98
98.934823513,-55,90
99.434595108,-53,94
99.934858799,-59,82
100.434755802,-47,100
100.934707165,-49,100
101.434534073,-49,100
101.934849262,-47,100
102.434532642,-41,100
102.934849262,-49,100
103.434686184,-59,82
103.934743881,-55,90
104.434695721,-57,86
104.934820175,-57,86
105.434517384,-59,82
105.934683323,-59,82
106.434663773,-59,82
106.934887886,-59,82
107.434480190,-49,100
107.934797287,-59,82
108.434690952,-51,98
108.934694767,-49,100
109.434559345,-41,100
109.934820652,-41,100
110.434470654,-55,90
110.934799194,-45,100
111.434626579,-62,76
111.934626102,-51,98
112.434471130,-51,98
112.934762955,-55,90
113.434539795,-53,94
113.934624672,-57,86
114.434640408,-62,76
114.934665203,-61,78
115.434497833,-55,90
115.934556484,-59,82
116.434478760,-60,80
116.934652805,-55,90
117.434617996,-55,90
117.934638977,-55,90
118.434436321,-57,86
118.934689522,-59,82
119.434435368,-64,72
119.934588909,-59,82
120.434382439,-57,86
120.934595108,-67,66
121.434578419,-53,94
121.934590340,-59,82
122.434389114,-55,90
122.934708118,-59,82
123.434377194,-55,90
123.934494495,-65,70
124.434530258,-65,70
124.934524536,-62,76
125.434489727,-65,70
125.934664726,-59,82
126.434384346,-57,86
126.934697151,-49,100
127.434543133,-57,86
127.934587002,-62,76
128.434383869,-59,82
128.934677601,-49,100
129.434514999,-59,82
129.934503555,-53,94
130.434522629,-55,90
130.934688091,-53,94
131.434314251,-53,94
131.934522152,-47,100
132.434473038,-53,94
132.934478760,-57,86
133.434426308,-51,98
133.934606552,-47,100
134.434288025,-49,100
134.934619904,-49,100
135.434450626,-49,100
135.934574127,-47,100
136.434297085,-47,100
136.934619427,-47,100
137.434445858,-47,100
137.934446335,-47,100
138.434238434,-47,100
138.934614658,-47,100
139.434311867,-47,100
139.934504509,-49,100
140.434447765,-49,100
140.934432507,-64,72
141.434377670,-51,98
141.934581757,-53,94
142.434288979,-49,100
142.934561253,-55,90
143.434389591,-47,100
143.934521198,-47,100
144.434237480,-51,98
144.934523582,-57,86
145.434421063,-55,90
145.934431553,-60,80
146.434219837,-62,76
146.934552670,-49,100
147.434208393,-53,94
147.934519291,-55,90
148.434352398,-60,80
148.934356689,-53,94
149.434192181,-57,86
149.934523106,-60,80
150.434217930,-53,94
150.934349060,-47,100
151.434365273,-55,90
